open,high,low,close,volume,date
7.0,7.15,7.0,7.15,13200.0,2018-01-17 05:45:00
7.15,7.15,7.1,7.14,32150.0,2018-01-21 05:45:00
7.14,7.2,7.1,7.1,23500.0,2018-01-23 05:45:00
7.1,7.1,7.0,7.0,13500.0,2018-01-24 05:45:00
7.0,7.0,7.0,7.0,3000.0,2018-01-25 05:45:00
7.0,7.0,7.0,7.0,3000.0,2018-01-28 05:45:00
7.0,7.2,7.05,7.05,2100.0,2018-01-29 05:45:00
7.05,7.09,6.97,7.09,51000.0,2018-01-31 05:45:00
7.09,7.09,6.96,6.96,8300.0,2018-02-01 05:45:00
6.96,6.9,6.9,6.9,4500.0,2018-02-04 05:45:00
6.9,7.0,6.78,6.81,19500.0,2018-02-05 05:45:00
6.81,6.9,6.71,6.9,19900.0,2018-02-06 05:45:00
6.9,6.88,6.73,6.8,1700.0,2018-02-07 05:45:00
6.8,6.7,6.69,6.7,7100.0,2018-02-08 05:45:00
6.7,6.7,6.66,6.66,15200.0,2018-02-11 05:45:00
6.66,6.8,6.61,6.75,8700.0,2018-02-12 05:45:00
6.75,6.8,6.8,6.8,2000.0,2018-02-15 05:45:00
6.6,6.6,6.6,6.6,11500.0,2018-02-18 05:45:00
6.79,6.79,6.6,6.6,4800.0,2018-02-20 05:45:00
6.6,6.6,6.6,6.6,12500.0,2018-02-21 05:45:00
6.56,6.6,6.56,6.6,21100.0,2018-02-22 05:45:00
6.46,6.46,6.46,6.46,1000.0,2018-02-25 05:45:00
6.45,6.48,6.45,6.48,3500.0,2018-02-26 05:45:00
6.67,6.67,6.45,6.47,22400.0,2018-02-28 05:45:00
6.45,6.45,6.26,6.26,5000.0,2018-03-04 05:45:00
6.26,6.3,6.16,6.2,23100.0,2018-03-05 05:45:00
6.16,6.35,6.16,6.35,12100.0,2018-03-06 05:45:00
6.41,6.41,6.2,6.4,55800.0,2018-03-07 05:45:00
6.27,6.68,6.27,6.68,5500.0,2018-03-11 05:45:00
6.75,6.75,6.75,6.75,10000.0,2018-03-13 05:45:00
6.7,6.7,6.5,6.7,44500.0,2018-03-14 05:45:00
6.7,6.75,6.65,6.75,16700.0,2018-03-15 05:45:00
6.7,6.8,6.6,6.6,15000.0,2018-03-18 05:45:00
6.69,6.7,6.69,6.7,22500.0,2018-03-19 05:45:00
6.85,6.85,6.85,6.85,4300.0,2018-03-20 05:45:00
6.75,6.75,6.57,6.57,3500.0,2018-03-22 05:45:00
6.5,6.5,6.22,6.23,15400.0,2018-03-26 05:45:00
6.1,6.2,6.1,6.2,9000.0,2018-03-27 05:45:00
6.38,6.59,6.38,6.59,18500.0,2018-03-28 05:45:00
6.4,6.79,6.36,6.65,10000.0,2018-03-29 05:45:00
6.65,6.7,6.5,6.5,49350.0,2018-04-01 05:45:00
6.35,6.5,6.3,6.31,105500.0,2018-04-02 05:45:00
6.16,6.4,6.15,6.23,8850.0,2018-04-03 05:45:00
6.41,7.0,6.41,7.0,20700.0,2018-04-05 05:45:00
6.85,7.0,6.8,7.0,25800.0,2018-04-08 05:45:00
6.85,6.99,6.85,6.88,29500.0,2018-04-09 05:45:00
6.7,6.8,6.7,6.75,25200.0,2018-04-10 05:45:00
6.85,6.94,6.85,6.94,27650.0,2018-04-11 05:45:00
6.8,6.85,6.8,6.85,8000.0,2018-04-12 05:45:00
6.65,6.65,6.65,6.65,1000.0,2018-04-15 05:45:00
6.8,6.85,6.75,6.85,3100.0,2018-04-16 05:45:00
6.85,7.0,6.8,7.0,2000.0,2018-04-17 05:45:00
7.01,7.01,7.01,7.01,5000.0,2018-04-18 05:45:00
6.81,7.0,6.75,6.9,19780.0,2018-04-19 05:45:00
6.9,6.99,6.9,6.95,48800.0,2018-04-22 05:45:00
6.8,6.9,6.75,6.9,59000.0,2018-04-23 05:45:00
7.0,7.0,6.8,6.86,9300.0,2018-04-24 05:45:00
6.66,6.85,6.66,6.7,6700.0,2018-04-25 05:45:00
6.55,6.6,6.55,6.6,3500.0,2018-04-26 05:45:00
6.41,6.5,6.35,6.35,11500.0,2018-04-29 05:45:00
6.35,6.45,6.3,6.45,14700.0,2018-05-02 05:45:00
6.32,6.32,6.32,6.32,2000.0,2018-05-03 05:45:00
