open,high,low,close,volume,date
374.8,404.2,374.8,404.2,1330.0,2023-01-23 05:45:00
412.2,444.6,412.2,444.6,1740.0,2023-01-24 20:45:00
436.1,489.0,436.1,489.0,44755.0,2023-01-25 20:45:00
498.7,537.9,492.0,495.0,63167.0,2023-01-26 20:45:00
485.1,514.0,476.0,498.0,23218.0,2023-01-29 20:45:00
507.9,507.9,473.0,477.0,14178.0,2023-01-30 20:45:00
467.5,492.5,459.0,469.9,16773.0,2023-01-31 20:45:00
475.0,493.6,467.5,493.0,28218.0,2023-02-01 20:45:00
500.0,502.8,484.0,488.0,32515.0,2023-02-02 20:45:00
487.0,495.0,479.0,485.0,11668.0,2023-02-05 20:45:00
478.0,492.0,475.4,484.9,12433.0,2023-02-06 20:45:00
494.0,513.8,488.0,499.9,20657.0,2023-02-07 20:45:00
505.0,515.1,496.1,503.9,36464.0,2023-02-08 20:45:00
495.0,500.0,490.0,496.0,5463.0,2023-02-09 20:45:00
500.0,500.0,475.9,485.0,14627.0,2023-02-12 20:45:00
481.0,485.0,471.4,479.2,9992.0,2023-02-14 20:45:00
470.7,484.0,470.7,473.0,6796.0,2023-02-15 20:45:00
465.0,470.0,461.1,463.0,9279.0,2023-02-16 20:45:00
455.0,471.8,446.1,455.0,19162.0,2023-02-20 20:45:00
446.5,479.0,446.5,474.9,7523.0,2023-02-22 20:45:00
468.0,470.0,451.0,465.0,10270.0,2023-02-23 20:45:00
455.7,471.0,438.0,471.0,6881.0,2023-02-26 20:45:00
462.0,478.9,456.0,466.0,9070.0,2023-02-27 20:45:00
460.1,472.0,460.0,463.0,2253.0,2023-02-28 20:45:00
458.0,467.0,454.0,454.0,5801.0,2023-03-01 20:45:00
446.1,454.0,446.1,453.9,4848.0,2023-03-02 20:45:00
445.3,459.1,445.3,459.0,5120.0,2023-03-05 20:45:00
450.0,461.0,442.0,459.0,4195.0,2023-03-07 20:45:00
468.1,468.1,452.1,468.0,7278.0,2023-03-09 20:45:00
471.0,475.0,455.1,456.0,6134.0,2023-03-12 20:45:00
448.7,456.0,448.7,455.0,3730.0,2023-03-13 20:45:00
450.0,467.0,450.0,455.0,2543.0,2023-03-14 20:45:00
448.0,462.0,448.0,457.2,5079.0,2023-03-15 20:45:00
450.0,462.0,450.0,458.0,4615.0,2023-03-16 20:45:00
451.0,457.5,451.0,454.0,2447.0,2023-03-19 20:45:00
450.2,463.0,450.2,463.0,3560.0,2023-03-20 20:45:00
456.0,466.3,455.0,456.0,5825.0,2023-03-22 20:45:00
450.1,459.0,449.0,451.0,6485.0,2023-03-23 20:45:00
443.1,446.0,438.5,439.0,5835.0,2023-03-26 20:45:00
431.5,449.9,431.5,449.0,3229.0,2023-03-27 20:45:00
442.0,455.0,442.0,451.0,4466.0,2023-03-28 20:45:00
443.0,460.0,443.0,456.0,4094.0,2023-03-29 20:45:00
456.0,463.0,454.0,458.0,11056.0,2023-03-30 20:45:00
458.0,460.0,442.0,450.0,24382.0,2023-04-02 20:45:00
441.2,458.0,437.4,447.0,3520.0,2023-04-03 20:45:00
438.1,445.0,432.4,432.4,19955.0,2023-04-04 20:45:00
430.0,448.0,427.0,442.0,8846.0,2023-04-05 20:45:00
435.0,443.0,435.0,440.0,4434.0,2023-04-06 20:45:00
431.3,433.0,418.1,424.0,12627.0,2023-04-09 20:45:00
420.0,426.0,413.0,425.0,2768.0,2023-04-10 20:45:00
425.0,430.4,420.0,429.0,3420.0,2023-04-11 20:45:00
437.0,451.8,433.0,446.3,21065.0,2023-04-12 20:45:00
450.0,457.9,438.0,450.0,14038.0,2023-04-13 20:45:00
445.0,466.0,445.0,464.8,20566.0,2023-04-16 20:45:00
460.0,465.0,455.6,461.0,21645.0,2023-04-17 20:45:00
452.0,475.0,452.0,470.0,16146.0,2023-04-18 20:45:00
470.0,479.9,469.1,479.0,9136.0,2023-04-19 20:45:00
470.1,485.0,466.7,474.0,11590.0,2023-04-20 20:45:00
468.0,474.0,460.1,469.9,6223.0,2023-04-23 20:45:00
461.0,472.0,460.1,469.0,9323.0,2023-04-24 20:45:00
459.7,469.0,455.0,464.0,1635.0,2023-04-25 20:45:00
456.0,470.0,455.1,461.0,10987.0,2023-04-26 20:45:00
452.2,460.0,452.1,456.0,5077.0,2023-04-27 20:45:00
447.0,455.0,447.0,448.9,3409.0,2023-04-30 20:45:00
440.0,447.9,440.0,446.0,1857.0,2023-05-02 20:45:00
440.0,461.0,440.0,447.0,2353.0,2023-05-03 20:45:00
444.0,453.9,441.0,450.0,5111.0,2023-05-04 20:45:00
443.1,450.0,443.0,446.0,2963.0,2023-05-07 20:45:00
440.0,444.0,434.0,440.0,2296.0,2023-05-08 20:45:00
435.0,445.0,433.0,433.1,4430.0,2023-05-09 20:45:00
441.7,450.5,431.0,439.0,1695.0,2023-05-10 20:45:00
434.0,443.5,434.0,434.2,2894.0,2023-05-11 20:45:00
435.0,435.0,417.0,429.0,4959.0,2023-05-14 20:45:00
420.5,437.5,412.2,430.6,1920.0,2023-05-15 20:45:00
426.2,445.8,426.2,445.8,5139.0,2023-05-16 20:45:00
445.0,445.5,432.6,439.0,4640.0,2023-05-17 20:45:00
440.0,450.0,421.4,444.0,42238.0,2023-05-18 20:45:00
444.9,463.8,430.1,438.1,24172.0,2023-05-21 20:45:00
435.0,456.0,430.5,452.0,25837.0,2023-05-22 20:45:00
454.0,479.7,454.0,479.7,37402.0,2023-05-23 20:45:00
489.0,489.0,462.0,484.0,40422.0,2023-05-24 20:45:00
480.0,489.0,469.0,470.0,34110.0,2023-05-28 20:45:00
467.9,468.0,448.0,452.0,22519.0,2023-05-30 20:45:00
443.0,450.0,435.0,438.0,13193.0,2023-05-31 20:45:00
446.0,454.9,431.1,450.0,10850.0,2023-06-01 20:45:00
450.0,474.0,450.0,470.0,20502.0,2023-06-04 20:45:00
474.0,474.0,460.1,463.9,12002.0,2023-06-05 20:45:00
460.0,488.5,457.5,482.1,25540.0,2023-06-06 20:45:00
490.0,500.0,482.0,488.0,19107.0,2023-06-07 20:45:00
478.3,525.0,478.3,524.0,84550.0,2023-06-08 20:45:00
533.0,550.8,515.1,541.0,67204.0,2023-06-11 20:45:00
534.0,558.1,530.2,557.0,59871.0,2023-06-12 20:45:00
560.0,579.0,541.0,555.0,62563.0,2023-06-13 20:45:00
550.0,577.0,545.0,577.0,66774.0,2023-06-14 20:45:00
566.0,588.0,554.5,588.0,53401.0,2023-06-15 20:45:00
599.7,605.0,570.0,599.1,115274.0,2023-06-18 20:45:00
609.9,611.0,573.1,576.0,59238.0,2023-06-19 20:45:00
579.0,585.0,562.6,562.9,49760.0,2023-06-20 20:45:00
561.5,575.0,552.2,560.1,43007.0,2023-06-21 20:45:00
565.0,599.0,553.0,593.0,53872.0,2023-06-22 20:45:00
600.0,645.0,582.0,645.0,140461.0,2023-06-25 20:45:00
650.0,665.0,625.0,658.0,78924.0,2023-06-26 20:45:00
658.0,710.0,632.1,697.0,75388.0,2023-06-27 20:45:00
710.9,710.9,663.1,685.0,72790.0,2023-06-28 20:45:00
690.0,696.0,651.3,652.0,54238.0,2023-07-02 20:45:00
650.0,668.0,635.0,649.3,39720.0,2023-07-03 20:45:00
662.0,665.0,642.9,659.0,23510.0,2023-07-04 20:45:00
659.0,660.5,629.0,640.0,32392.0,2023-07-05 20:45:00
628.0,663.0,624.0,636.0,21201.0,2023-07-06 20:45:00
648.0,660.0,640.0,660.0,31430.0,2023-07-09 20:45:00
651.0,670.0,648.0,660.0,23950.0,2023-07-10 20:45:00
646.9,663.0,641.8,650.0,14308.0,2023-07-11 20:45:00
640.0,663.0,640.0,663.0,23603.0,2023-07-12 20:45:00
670.0,674.0,641.9,649.0,21509.0,2023-07-13 20:45:00
650.0,654.0,637.0,649.9,19604.0,2023-07-16 20:45:00
650.0,664.0,641.0,664.0,12171.0,2023-07-17 20:45:00
655.0,680.0,655.0,670.0,43224.0,2023-07-18 20:45:00
660.0,672.9,655.0,667.0,14126.0,2023-07-19 20:45:00
654.0,664.0,645.0,645.0,13725.0,2023-07-20 20:45:00
633.0,673.0,633.0,650.2,31937.0,2023-07-23 20:45:00
649.5,668.0,644.2,652.0,39398.0,2023-07-24 20:45:00
641.3,659.0,639.0,639.1,17203.0,2023-07-25 20:45:00
639.0,652.0,634.3,646.0,24503.0,2023-07-26 20:45:00
635.0,648.0,633.0,639.7,26418.0,2023-07-27 20:45:00
631.0,640.0,613.1,630.0,19352.0,2023-07-30 20:45:00
618.1,637.0,614.0,625.0,15110.0,2023-07-31 20:45:00
614.0,626.2,600.0,606.0,12026.0,2023-08-01 20:45:00
595.0,618.0,590.0,609.0,13870.0,2023-08-02 20:45:00
605.0,615.0,600.0,601.0,10894.0,2023-08-03 20:45:00
