Open,High,Low,Close,Volume,Date
406.13,406.13,365.86,365.86,3920,2019-03-24
348.36,348.36,329.98,329.98,90,2019-03-25
314.22,314.22,297.59,297.59,500,2019-03-26
282.71,308.97,282.71,291.47,78450,2019-03-28
293.22,293.22,282.71,284.46,32407,2019-03-31
282.71,290.59,280.96,288.84,31990,2019-04-01
286.21,294.09,284.46,287.96,38720,2019-04-02
286.21,287.96,283.59,284.46,18011,2019-04-03
288.84,288.84,280.09,280.96,33290,2019-04-04
279.21,281.84,278.34,280.09,14305,2019-04-07
282.71,282.71,269.58,271.33,14819,2019-04-09
266.96,272.21,266.96,269.58,14774,2019-04-10
268.71,271.33,267.83,267.83,16100,2019-04-11
266.08,269.58,266.08,269.58,4335,2019-04-15
269.58,273.09,268.71,272.21,14905,2019-04-16
266.96,271.33,262.58,270.46,17750,2019-04-18
272.21,272.21,265.21,266.96,18065,2019-04-21
266.96,272.21,266.08,266.96,20035,2019-04-22
267.83,272.21,266.96,271.33,23310,2019-04-23
267.83,272.21,266.96,268.71,22930,2019-04-24
267.83,272.21,267.83,271.33,20838,2019-04-25
271.33,290.59,271.33,283.59,45502,2019-04-28
282.71,287.09,276.59,280.09,28956,2019-04-29
279.21,288.84,276.59,287.09,22059,2019-04-30
281.84,305.47,281.84,301.09,74542,2019-05-02
302.84,325.6,295.84,313.35,129045,2019-05-05
328.23,343.98,310.72,339.61,132126,2019-05-06
341.36,345.73,330.85,331.73,127407,2019-05-07
328.23,348.36,328.23,341.36,105925,2019-05-08
336.11,367.61,336.11,359.74,124569,2019-05-09
361.49,395.62,358.86,395.62,153906,2019-05-12
398.25,435.01,398.25,435.01,233289,2019-05-13
442.89,477.9,442.89,477.9,157535,2019-05-14
501.53,516.41,449.89,455.14,237479,2019-05-15
455.14,500.66,438.51,500.66,245337,2019-05-16
525.16,550.55,498.91,550.55,306224,2019-05-19
577.68,593.44,507.66,520.79,399171,2019-05-20
525.16,532.17,487.53,512.04,118395,2019-05-21
503.28,511.16,477.02,481.4,110790,2019-05-22
481.4,506.78,465.65,478.77,73193,2019-05-23
481.4,515.54,474.4,490.15,84403,2019-05-26
490.15,522.54,486.65,514.66,125412,2019-05-27
514.66,565.43,512.91,565.43,265038,2019-05-28
593.44,621.44,568.93,594.31,298013,2019-05-29
623.19,623.19,560.18,578.56,255064,2019-05-30
