open,high,low,close,volume,date
51.3,51.3,50.99,50.99,40.0,2011-07-20 05:45:00
51.3,51.3,51.3,51.3,10.0,2011-07-24 05:45:00
51.3,51.3,51.3,51.3,180.0,2011-08-16 05:45:00
50.99,50.99,50.99,50.99,100.0,2011-08-17 05:45:00
50.68,50.68,50.68,50.68,10.0,2011-09-04 05:45:00
50.42,50.42,49.91,49.91,90.0,2011-09-07 05:45:00
49.66,49.66,49.66,49.66,20.0,2011-09-13 05:45:00
49.4,49.4,48.37,48.37,300.0,2011-09-15 05:45:00
48.32,48.32,48.32,48.32,90.0,2011-09-22 05:45:00
48.06,48.06,48.06,48.06,10.0,2011-10-31 05:45:00
47.86,47.86,47.86,47.86,150.0,2011-11-20 05:45:00
47.66,48.27,47.66,48.27,170.0,2011-12-05 05:45:00
48.06,48.06,47.86,47.86,2060.0,2011-12-06 05:45:00
47.66,47.66,46.68,46.88,690.0,2011-12-07 05:45:00
46.68,46.68,45.85,46.05,350.0,2011-12-12 05:45:00
45.85,46.27,45.03,46.27,4890.0,2011-12-13 05:45:00
46.27,46.47,46.05,46.27,1260.0,2011-12-14 05:45:00
46.05,46.05,46.05,46.05,260.0,2011-12-15 05:45:00
46.05,46.68,46.05,46.27,1520.0,2011-12-18 05:45:00
46.27,46.27,45.85,45.85,720.0,2011-12-19 05:45:00
45.7,45.75,45.7,45.75,140.0,2011-12-20 05:45:00
45.96,46.77,45.96,46.77,90.0,2011-12-21 05:45:00
46.57,46.57,46.36,46.57,200.0,2011-12-22 05:45:00
46.57,47.4,46.57,47.4,100.0,2011-12-26 05:45:00
47.6,47.8,47.6,47.8,30.0,2011-12-27 05:45:00
48.01,48.01,48.01,48.01,20.0,2011-12-29 05:45:00
47.8,47.8,47.49,47.49,140.0,2012-01-02 05:45:00
47.8,47.8,47.8,47.8,40.0,2012-01-03 05:45:00
48.01,48.01,48.01,48.01,20.0,2012-01-04 05:45:00
47.8,48.11,47.71,47.71,3580.0,2012-01-05 05:45:00
47.91,48.01,47.8,47.8,310.0,2012-01-08 05:45:00
47.71,47.71,47.71,47.71,100.0,2012-01-09 05:45:00
47.91,48.11,47.91,48.11,40.0,2012-01-10 05:45:00
47.91,47.91,47.91,47.91,40.0,2012-01-11 05:45:00
47.71,48.06,47.09,48.06,190.0,2012-01-17 05:45:00
47.86,47.86,46.83,47.86,210.0,2012-01-29 05:45:00
48.06,48.68,48.06,48.42,70.0,2012-02-02 05:45:00
48.42,48.42,48.16,48.16,2220.0,2012-02-09 05:45:00
47.96,47.96,46.93,47.54,4180.0,2012-02-21 05:45:00
47.34,47.91,46.93,47.91,4210.0,2012-02-23 05:45:00
48.11,48.11,46.88,47.71,4190.0,2012-02-26 05:45:00
47.49,47.49,47.49,47.49,4000.0,2012-02-27 05:45:00
47.28,47.28,47.28,47.28,4000.0,2012-02-28 05:45:00
47.09,47.96,46.68,47.96,4310.0,2012-02-29 05:45:00
47.75,48.11,47.54,48.11,3040.0,2012-03-01 05:45:00
47.91,47.91,47.44,47.86,3100.0,2012-03-04 05:45:00
47.86,47.86,47.86,47.86,50.0,2012-03-11 05:45:00
47.66,47.66,47.44,47.44,20.0,2012-03-19 05:45:00
47.66,48.06,47.66,48.06,30.0,2012-03-20 05:45:00
48.27,48.27,48.27,48.27,10.0,2012-03-29 05:45:00
48.06,48.06,47.23,47.86,510.0,2012-04-02 05:45:00
48.06,48.27,48.06,48.27,30.0,2012-04-10 05:45:00
48.47,48.72,48.47,48.47,30.0,2012-04-18 05:45:00
48.72,48.72,47.18,47.18,80.0,2012-04-19 05:45:00
46.98,48.22,46.98,48.22,560.0,2012-04-22 05:45:00
48.42,48.42,48.42,48.42,10.0,2012-04-24 05:45:00
48.47,48.72,48.47,48.72,110.0,2012-04-26 05:45:00
48.47,48.72,48.47,48.72,60.0,2012-04-30 05:45:00
48.98,49.24,48.72,49.24,120.0,2012-05-09 05:45:00
48.98,48.98,48.98,48.98,30.0,2012-05-10 05:45:00
48.72,48.72,48.72,48.72,100.0,2012-05-13 05:45:00
48.47,48.47,48.47,48.47,30.0,2012-05-15 05:45:00
48.72,48.72,48.58,48.58,460.0,2012-05-20 05:45:00
48.32,48.32,47.66,48.06,550.0,2012-05-22 05:45:00
48.27,48.47,48.01,48.01,220.0,2012-05-24 05:45:00
48.22,48.22,48.22,48.22,10.0,2012-05-27 05:45:00
48.42,48.42,48.42,48.42,10.0,2012-05-29 05:45:00
48.68,48.88,48.68,48.88,20.0,2012-05-30 05:45:00
48.63,48.63,47.91,47.91,450.0,2012-06-04 05:45:00
47.71,48.83,47.71,48.83,2130.0,2012-06-05 05:45:00
48.58,48.58,48.32,48.32,60.0,2012-06-06 05:45:00
48.06,48.47,47.66,48.47,1570.0,2012-06-07 05:45:00
48.22,48.42,48.01,48.42,480.0,2012-06-10 05:45:00
48.16,48.37,48.16,48.37,410.0,2012-06-11 05:45:00
48.11,48.11,48.11,48.11,100.0,2012-06-12 05:45:00
48.32,48.32,48.06,48.27,260.0,2012-06-13 05:45:00
48.22,48.22,47.86,47.86,590.0,2012-06-14 05:45:00
47.66,47.66,47.66,47.66,10.0,2012-06-17 05:45:00
47.44,48.47,47.44,48.47,830.0,2012-06-18 05:45:00
48.22,48.22,47.8,47.8,300.0,2012-06-19 05:45:00
48.01,48.01,48.01,48.01,10.0,2012-06-20 05:45:00
