open,high,low,close,volume,date
83.24,83.24,83.24,83.24,1000.0,2013-09-08 05:45:00
82.9,82.9,82.56,82.56,250.0,2013-09-10 05:45:00
82.22,82.22,81.87,81.87,710.0,2013-09-17 05:45:00
81.53,81.53,81.53,81.53,2500.0,2013-09-19 05:45:00
81.19,81.19,80.51,80.51,950.0,2013-09-30 05:45:00
80.16,80.16,79.48,79.48,750.0,2013-10-01 05:45:00
79.14,79.14,78.45,78.45,1000.0,2013-10-03 05:45:00
78.11,78.11,78.11,78.11,2070.0,2013-10-17 05:45:00
77.77,77.77,77.43,77.43,400.0,2013-12-12 05:45:00
77.84,77.84,77.84,77.84,440.0,2013-12-18 05:45:00
78.2,78.2,78.2,78.2,500.0,2013-12-26 05:45:00
78.55,78.55,78.55,78.55,260.0,2013-12-29 05:45:00
78.2,78.2,78.2,78.2,1800.0,2014-01-02 05:45:00
78.55,78.91,78.55,78.91,600.0,2014-01-12 05:45:00
79.27,79.27,78.55,78.55,4700.0,2014-01-13 05:45:00
78.55,78.55,78.55,78.55,210.0,2014-01-16 05:45:00
78.55,78.55,78.55,78.55,200.0,2014-01-22 05:45:00
78.91,78.91,78.91,78.91,100.0,2014-01-23 05:45:00
78.55,78.55,78.2,78.2,2550.0,2014-01-26 05:45:00
78.55,78.55,78.55,78.55,200.0,2014-02-03 05:45:00
78.91,80.34,78.91,80.34,300.0,2014-02-05 05:45:00
80.69,81.76,80.69,81.76,970.0,2014-02-06 05:45:00
81.41,81.41,81.41,81.41,1160.0,2014-02-09 05:45:00
81.76,81.76,81.76,81.76,490.0,2014-02-18 05:45:00
81.41,81.41,81.41,81.41,350.0,2014-02-20 05:45:00
81.41,81.41,81.41,81.41,1000.0,2014-02-23 05:45:00
81.76,82.48,81.76,82.48,2480.0,2014-02-24 05:45:00
82.83,83.19,82.83,82.83,2500.0,2014-02-25 05:45:00
82.48,82.48,82.12,82.48,1400.0,2014-02-26 05:45:00
82.83,83.55,82.83,83.55,1330.0,2014-03-05 05:45:00
83.55,83.55,83.55,83.55,1000.0,2014-03-06 05:45:00
83.19,84.26,83.19,84.26,2580.0,2014-03-09 05:45:00
84.62,85.69,84.62,85.69,2620.0,2014-03-10 05:45:00
86.04,87.65,86.04,87.65,1800.0,2014-03-11 05:45:00
88.18,88.36,87.65,87.65,720.0,2014-03-12 05:45:00
87.47,87.47,87.47,87.47,1000.0,2014-03-13 05:45:00
88.01,88.01,87.29,87.29,2380.0,2014-03-17 05:45:00
86.76,86.76,86.22,86.22,750.0,2014-03-19 05:45:00
85.69,85.69,84.26,84.26,3820.0,2014-03-20 05:45:00
83.9,83.9,83.55,83.55,810.0,2014-03-24 05:45:00
83.19,83.55,83.19,83.55,610.0,2014-03-25 05:45:00
83.19,83.19,83.19,83.19,310.0,2014-03-31 05:45:00
82.83,82.83,82.48,82.48,3910.0,2014-04-01 05:45:00
82.12,82.12,82.12,82.12,500.0,2014-04-03 05:45:00
81.76,81.76,81.05,81.05,930.0,2014-04-09 05:45:00
81.41,81.41,81.41,81.41,70.0,2014-04-13 05:45:00
81.76,81.76,81.76,81.76,250.0,2014-04-15 05:45:00
82.12,82.48,82.12,82.48,700.0,2014-04-16 05:45:00
