open,high,low,close,volume,date
65.41,65.41,64.9,65.16,381.0,2011-07-19 05:45:00
65.41,65.67,65.41,65.67,114.0,2011-07-20 05:45:00
65.41,65.67,65.16,65.67,371.0,2011-07-21 05:45:00
65.54,65.54,65.29,65.54,638.0,2011-07-24 05:45:00
65.41,65.41,65.41,65.41,29.0,2011-07-26 05:45:00
65.41,65.54,65.41,65.41,638.0,2011-07-27 05:45:00
65.41,65.41,65.41,65.41,495.0,2011-07-28 05:45:00
65.41,65.41,65.29,65.29,257.0,2011-07-31 05:45:00
65.29,65.41,65.16,65.29,314.0,2011-08-01 05:45:00
65.16,65.16,64.9,65.16,314.0,2011-08-02 05:45:00
65.03,65.03,65.03,65.03,86.0,2011-08-03 05:45:00
64.77,64.77,64.77,64.77,371.0,2011-08-04 05:45:00
64.77,64.77,64.39,64.77,1000.0,2011-08-07 05:45:00
64.77,64.77,64.26,64.52,324.0,2011-08-08 05:45:00
64.39,64.77,64.39,64.77,724.0,2011-08-09 05:45:00
65.03,65.29,64.9,65.29,181.0,2011-08-10 05:45:00
65.03,65.16,65.03,65.03,362.0,2011-08-11 05:45:00
64.9,65.41,64.9,65.41,248.0,2011-08-15 05:45:00
65.16,65.16,65.16,65.16,152.0,2011-08-16 05:45:00
65.16,65.16,65.16,65.16,390.0,2011-08-17 05:45:00
64.9,64.9,64.9,64.9,610.0,2011-08-22 05:45:00
64.77,64.77,64.77,64.77,524.0,2011-08-23 05:45:00
64.52,64.77,64.26,64.77,1057.0,2011-08-25 05:45:00
64.52,64.77,64.26,64.26,3533.0,2011-08-28 05:45:00
64.01,64.01,64.01,64.01,67.0,2011-09-01 05:45:00
64.13,64.26,64.01,64.01,781.0,2011-09-04 05:45:00
64.13,64.26,64.13,64.13,667.0,2011-09-05 05:45:00
64.13,64.52,64.13,64.52,1000.0,2011-09-06 05:45:00
64.26,64.39,64.26,64.39,514.0,2011-09-07 05:45:00
64.26,64.39,64.26,64.39,952.0,2011-09-08 05:45:00
64.13,64.39,64.13,64.39,229.0,2011-09-12 05:45:00
64.39,64.39,64.39,64.39,152.0,2011-09-14 05:45:00
64.13,64.13,64.13,64.13,171.0,2011-09-15 05:45:00
64.13,64.13,64.01,64.01,171.0,2011-09-18 05:45:00
63.88,63.88,63.75,63.88,162.0,2011-09-19 05:45:00
64.13,64.13,63.75,63.75,371.0,2011-09-20 05:45:00
63.75,63.75,63.62,63.75,162.0,2011-09-21 05:45:00
63.75,64.01,63.75,64.01,57.0,2011-09-22 05:45:00
64.13,64.13,64.13,64.13,200.0,2011-09-25 05:45:00
64.26,64.52,64.26,64.52,286.0,2011-09-26 05:45:00
64.39,64.39,64.39,64.39,86.0,2011-09-27 05:45:00
64.39,64.39,64.39,64.39,143.0,2011-09-29 05:45:00
64.13,64.13,64.13,64.13,29.0,2011-10-09 05:45:00
64.26,64.52,64.26,64.52,57.0,2011-10-10 05:45:00
64.52,64.52,64.52,64.52,143.0,2011-10-12 05:45:00
64.52,64.52,64.26,64.26,133.0,2011-10-13 05:45:00
64.26,64.26,64.26,64.26,57.0,2011-10-17 05:45:00
64.52,64.52,64.26,64.26,114.0,2011-10-18 05:45:00
64.13,64.39,64.13,64.39,429.0,2011-10-19 05:45:00
64.26,64.26,64.01,64.01,171.0,2011-10-20 05:45:00
64.13,64.13,63.88,63.88,371.0,2011-10-23 05:45:00
64.01,64.01,63.62,63.75,419.0,2011-10-24 05:45:00
63.75,64.01,63.75,64.01,514.0,2011-10-25 05:45:00
64.26,64.26,63.75,63.75,1352.0,2011-10-30 05:45:00
64.01,64.65,64.01,64.65,533.0,2011-10-31 05:45:00
64.9,65.93,64.9,65.93,162.0,2011-11-02 05:45:00
65.67,65.67,65.41,65.41,76.0,2011-11-03 05:45:00
65.16,65.16,65.16,65.16,257.0,2011-11-06 05:45:00
64.9,64.9,64.9,64.9,143.0,2011-11-08 05:45:00
64.65,64.77,64.39,64.77,276.0,2011-11-09 05:45:00
64.52,64.52,64.13,64.13,686.0,2011-11-13 05:45:00
64.01,64.01,64.01,64.01,57.0,2011-11-14 05:45:00
63.75,64.01,63.75,64.01,600.0,2011-11-15 05:45:00
64.01,64.01,64.01,64.01,76.0,2011-11-17 05:45:00
64.01,64.01,63.5,63.5,695.0,2011-11-20 05:45:00
63.37,63.62,63.37,63.62,343.0,2011-11-21 05:45:00
63.75,64.01,63.75,64.01,686.0,2011-11-23 05:45:00
64.13,64.13,63.88,64.13,1105.0,2011-11-24 05:45:00
63.88,63.88,63.88,63.88,38.0,2011-11-27 05:45:00
63.75,63.75,63.75,63.75,86.0,2011-11-29 05:45:00
63.88,64.01,63.88,64.01,38.0,2011-11-30 05:45:00
64.13,64.13,64.13,64.13,324.0,2011-12-01 05:45:00
63.88,63.88,63.88,63.88,57.0,2011-12-05 05:45:00
63.62,63.62,63.37,63.37,124.0,2011-12-06 05:45:00
63.62,63.62,63.62,63.62,29.0,2011-12-11 05:45:00
63.5,63.75,63.5,63.5,200.0,2011-12-12 05:45:00
63.5,63.5,63.11,63.11,410.0,2011-12-13 05:45:00
63.37,63.5,63.37,63.5,57.0,2011-12-14 05:45:00
63.24,63.62,63.24,63.37,800.0,2011-12-15 05:45:00
63.5,63.5,63.24,63.24,219.0,2011-12-18 05:45:00
63.11,63.11,63.11,63.11,57.0,2011-12-19 05:45:00
62.98,63.24,62.98,63.24,76.0,2011-12-20 05:45:00
63.24,63.37,63.24,63.24,181.0,2011-12-21 05:45:00
63.5,63.62,63.5,63.62,200.0,2011-12-22 05:45:00
63.37,63.37,63.24,63.24,200.0,2012-01-02 05:45:00
63.5,63.75,63.37,63.75,362.0,2012-01-03 05:45:00
63.5,63.5,63.24,63.24,486.0,2012-01-05 05:45:00
62.98,62.98,62.98,62.98,29.0,2012-01-09 05:45:00
62.98,63.37,62.73,63.37,1371.0,2012-01-10 05:45:00
63.37,63.5,63.37,63.5,286.0,2012-01-12 05:45:00
63.5,63.5,63.11,63.37,1010.0,2012-01-16 05:45:00
63.5,63.5,63.5,63.5,29.0,2012-01-19 05:45:00
63.5,63.5,63.24,63.24,410.0,2012-01-22 05:45:00
63.11,63.11,62.47,62.86,200.0,2012-01-23 05:45:00
62.98,63.11,62.98,63.11,333.0,2012-01-25 05:45:00
62.98,63.37,62.98,63.11,1048.0,2012-01-26 05:45:00
62.98,63.11,62.98,62.98,724.0,2012-01-29 05:45:00
62.98,62.98,62.98,62.98,124.0,2012-01-31 05:45:00
63.24,63.24,62.98,62.98,371.0,2012-02-01 05:45:00
62.86,62.98,62.86,62.98,257.0,2012-02-02 05:45:00
63.24,63.24,62.98,62.98,257.0,2012-02-05 05:45:00
62.98,62.98,62.98,62.98,1324.0,2012-02-06 05:45:00
63.24,63.24,63.24,63.24,133.0,2012-02-07 05:45:00
63.5,64.26,63.5,63.62,952.0,2012-02-08 05:45:00
63.62,63.75,63.62,63.75,324.0,2012-02-09 05:45:00
64.01,64.26,64.01,64.26,57.0,2012-02-12 05:45:00
64.01,64.52,62.86,63.11,1971.0,2012-02-13 05:45:00
63.37,63.5,63.24,63.5,314.0,2012-02-14 05:45:00
63.75,63.75,63.5,63.5,171.0,2012-02-15 05:45:00
63.37,63.37,63.24,63.24,467.0,2012-02-16 05:45:00
63.5,63.75,63.24,63.75,1362.0,2012-02-21 05:45:00
63.5,63.5,63.37,63.5,429.0,2012-02-23 05:45:00
63.5,63.5,63.24,63.5,343.0,2012-02-26 05:45:00
63.24,63.5,63.24,63.5,267.0,2012-02-27 05:45:00
63.62,63.62,63.62,63.62,1181.0,2012-02-28 05:45:00
63.62,63.62,63.5,63.5,571.0,2012-02-29 05:45:00
63.5,63.5,63.5,63.5,514.0,2012-03-01 05:45:00
63.75,63.75,63.5,63.5,86.0,2012-03-05 05:45:00
63.5,63.5,63.5,63.5,86.0,2012-03-06 05:45:00
63.5,63.5,63.5,63.5,210.0,2012-03-11 05:45:00
63.62,63.62,63.5,63.5,171.0,2012-03-12 05:45:00
63.24,63.37,63.24,63.37,238.0,2012-03-13 05:45:00
63.37,63.37,63.37,63.37,571.0,2012-03-14 05:45:00
63.37,63.62,63.37,63.62,152.0,2012-03-15 05:45:00
63.37,63.75,63.37,63.5,2638.0,2012-03-18 05:45:00
63.5,63.5,63.5,63.5,190.0,2012-03-19 05:45:00
63.37,63.5,63.37,63.5,295.0,2012-03-20 05:45:00
63.5,63.75,63.5,63.75,1438.0,2012-03-21 05:45:00
63.75,63.88,63.75,63.88,1095.0,2012-03-25 05:45:00
63.62,63.62,63.62,63.62,114.0,2012-03-26 05:45:00
63.62,63.62,63.62,63.62,67.0,2012-03-27 05:45:00
63.75,64.01,63.5,63.5,343.0,2012-03-28 05:45:00
63.24,64.01,62.98,63.5,1581.0,2012-03-29 05:45:00
63.75,63.75,63.5,63.5,371.0,2012-04-01 05:45:00
63.75,63.75,63.75,63.75,29.0,2012-04-02 05:45:00
63.75,63.75,63.75,63.75,495.0,2012-04-03 05:45:00
63.75,63.75,63.75,63.75,467.0,2012-04-04 05:45:00
63.75,63.88,63.75,63.75,381.0,2012-04-05 05:45:00
63.75,63.75,63.75,63.75,57.0,2012-04-08 05:45:00
63.75,63.75,63.75,63.75,162.0,2012-04-09 05:45:00
64.01,64.01,64.01,64.01,76.0,2012-04-11 05:45:00
64.13,64.13,63.75,63.75,1238.0,2012-04-12 05:45:00
64.01,64.01,64.01,64.01,29.0,2012-04-18 05:45:00
63.75,63.75,63.75,63.75,76.0,2012-04-19 05:45:00
64.01,64.52,64.01,64.52,248.0,2012-04-22 05:45:00
64.77,64.77,64.77,64.77,57.0,2012-04-24 05:45:00
65.03,65.03,65.03,65.03,29.0,2012-04-25 05:45:00
65.8,66.57,65.8,66.57,248.0,2012-04-26 05:45:00
66.82,66.82,66.57,66.82,657.0,2012-04-29 05:45:00
66.57,67.33,66.57,67.33,305.0,2012-04-30 05:45:00
67.59,67.59,67.59,67.59,57.0,2012-05-02 05:45:00
67.84,67.84,67.84,67.84,1905.0,2012-05-07 05:45:00
67.59,67.59,67.59,67.59,267.0,2012-05-10 05:45:00
67.33,67.33,67.33,67.33,476.0,2012-05-15 05:45:00
67.33,67.33,67.33,67.33,29.0,2012-06-12 05:45:00
67.33,67.33,67.33,67.33,114.0,2012-06-14 05:45:00
66.69,66.69,66.44,66.44,276.0,2012-07-18 05:45:00
66.18,66.18,64.77,64.77,2419.0,2012-08-07 05:45:00
64.52,64.52,64.13,64.26,1295.0,2012-08-08 05:45:00
64.01,64.52,63.75,64.13,2676.0,2012-08-12 05:45:00
64.13,64.13,64.01,64.13,324.0,2012-08-13 05:45:00
64.13,64.26,64.13,64.13,2067.0,2012-08-14 05:45:00
63.88,64.65,63.88,64.52,1238.0,2012-08-15 05:45:00
64.65,64.77,64.13,64.77,1486.0,2012-08-16 05:45:00
64.65,64.65,64.39,64.39,400.0,2012-08-19 05:45:00
64.13,64.26,63.88,64.26,381.0,2012-08-21 05:45:00
64.26,65.54,64.13,65.54,743.0,2012-08-22 05:45:00
65.54,65.8,64.26,64.39,829.0,2012-08-23 05:45:00
64.13,64.77,64.13,64.77,571.0,2012-08-26 05:45:00
64.77,64.9,64.52,64.65,371.0,2012-08-27 05:45:00
64.9,66.05,64.9,66.05,2067.0,2012-08-28 05:45:00
66.31,67.33,66.05,67.33,1848.0,2012-08-29 05:45:00
67.21,67.33,67.08,67.08,619.0,2012-08-30 05:45:00
66.95,66.95,66.44,66.44,2067.0,2012-09-02 05:45:00
66.44,66.95,66.44,66.69,2743.0,2012-09-03 05:45:00
66.57,66.57,66.31,66.57,2952.0,2012-09-04 05:45:00
66.69,66.95,66.44,66.82,1343.0,2012-09-05 05:45:00
67.21,68.23,67.21,67.72,3057.0,2012-09-06 05:45:00
