open,high,low,close,volume,date
61.79,67.04,61.79,67.04,2783.0,2013-10-08 05:45:00
68.18,72.76,68.18,72.76,16506.0,2013-10-09 05:45:00
72.76,77.81,71.52,75.15,23565.0,2013-10-10 05:45:00
75.15,75.43,73.9,74.77,2986.0,2013-10-17 05:45:00
74.77,75.62,71.52,72.29,1943.0,2013-10-20 05:45:00
72.29,73.52,71.33,73.23,10997.0,2013-10-21 05:45:00
73.23,73.62,72.29,73.62,6847.0,2013-10-22 05:45:00
73.62,74.38,73.23,74.19,14041.0,2013-10-23 05:45:00
74.19,76.1,73.81,76.0,11302.0,2013-10-24 05:45:00
76.0,77.05,73.72,75.15,12862.0,2013-10-27 05:45:00
75.15,75.62,73.05,75.24,4891.0,2013-10-28 05:45:00
75.24,75.62,73.72,74.95,3268.0,2013-10-29 05:45:00
74.95,75.72,74.95,75.43,4868.0,2013-10-30 05:45:00
75.43,75.9,74.95,75.24,11043.0,2013-10-31 05:45:00
74.49,74.49,72.76,74.19,7253.0,2013-11-06 05:45:00
74.19,75.24,74.19,74.85,3669.0,2013-11-07 05:45:00
75.05,76.2,75.05,75.62,4399.0,2013-11-10 05:45:00
75.62,76.29,75.15,76.1,14879.0,2013-11-11 05:45:00
76.39,78.49,76.39,77.62,10501.0,2013-11-12 05:45:00
77.62,80.39,77.24,78.49,7925.0,2013-11-13 05:45:00
78.49,79.43,77.81,78.39,7175.0,2013-11-14 05:45:00
79.73,79.73,79.73,79.73,16.0,2013-11-21 05:45:00
79.73,85.64,79.63,79.63,3633.0,2013-11-24 05:45:00
79.63,80.88,78.01,79.63,5297.0,2013-11-25 05:45:00
79.63,81.82,77.62,80.88,3137.0,2013-11-26 05:45:00
80.88,81.82,80.39,81.35,2179.0,2013-11-27 05:45:00
81.35,82.68,79.92,82.59,2292.0,2013-11-28 05:45:00
82.59,84.68,82.3,82.77,3395.0,2013-12-01 05:45:00
82.77,87.93,82.77,87.93,7326.0,2013-12-02 05:45:00
87.93,95.75,87.83,95.75,7229.0,2013-12-03 05:45:00
97.47,104.34,97.47,103.77,4329.0,2013-12-04 05:45:00
103.77,108.35,101.86,103.67,20168.0,2013-12-05 05:45:00
103.67,105.49,96.71,98.05,2766.0,2013-12-08 05:45:00
98.05,98.52,96.32,98.52,2635.0,2013-12-09 05:45:00
98.42,98.42,95.37,95.66,1391.0,2013-12-10 05:45:00
96.23,99.29,96.23,97.57,3154.0,2013-12-11 05:45:00
97.57,100.81,95.85,97.75,1644.0,2013-12-12 05:45:00
97.75,104.25,97.75,104.25,3430.0,2013-12-15 05:45:00
104.71,106.06,104.71,106.06,467.0,2013-12-16 05:45:00
106.06,107.87,104.15,106.16,8172.0,2013-12-18 05:45:00
105.58,105.58,100.62,104.71,3787.0,2013-12-19 05:45:00
104.71,106.63,103.77,104.71,10809.0,2013-12-22 05:45:00
104.71,104.81,102.81,102.81,6906.0,2013-12-23 05:45:00
102.81,104.71,98.99,104.25,7827.0,2013-12-24 05:45:00
104.25,106.83,102.81,106.83,16840.0,2013-12-26 05:45:00
96.71,96.71,95.75,96.32,135.0,2013-12-29 05:45:00
96.32,98.05,95.19,95.19,8081.0,2013-12-31 05:45:00
95.19,98.05,95.19,98.05,976.0,2014-01-01 05:45:00
98.05,101.77,94.98,101.77,803.0,2014-01-02 05:45:00
101.77,103.57,100.62,100.62,501.0,2014-01-05 05:45:00
