open,high,low,close,volume,date
466.0,466.0,466.0,466.0,46013.0,2022-06-21 05:45:00
466.0,466.0,466.0,466.0,12305.0,2022-06-23 20:45:00
466.0,466.0,466.0,466.0,1.0,2022-06-28 20:45:00
466.0,466.0,466.0,466.0,17000.0,2022-07-04 20:45:00
332.0,332.0,332.0,332.0,10000.0,2023-10-03 20:45:00
366.0,366.0,366.0,366.0,45069.0,2024-01-23 19:51:02
495.0,495.0,495.0,495.0,50000.0,2024-09-22 17:57:14
495.0,495.0,495.0,495.0,14919.0,2024-09-29 20:13:40
495.0,495.0,495.0,495.0,20000.0,2024-10-16 18:44:18
495.0,495.0,495.0,495.0,20000.0,2024-11-20 20:17:41
