open,high,low,close,volume,date
171.16,171.16,171.16,171.16,10.0,2018-03-11 05:45:00
174.5,174.5,174.5,174.5,10.0,2018-04-05 05:45:00
177.85,181.19,177.85,181.19,20.0,2018-04-08 05:45:00
184.54,187.88,184.54,187.88,20.0,2018-04-09 05:45:00
191.23,194.57,191.23,194.57,20.0,2018-04-10 05:45:00
197.92,201.82,197.92,201.82,20.0,2018-04-11 05:45:00
205.73,209.63,205.73,209.63,20.0,2018-04-12 05:45:00
213.53,217.43,213.53,217.43,20.0,2018-04-15 05:45:00
221.34,229.71,221.34,229.71,30.0,2018-04-23 05:45:00
240.85,240.85,240.85,240.85,20.0,2018-05-06 05:45:00
245.31,249.76,245.31,249.76,20.0,2018-05-09 05:45:00
254.23,264.27,254.23,264.27,40.0,2018-05-10 05:45:00
269.28,269.28,269.28,269.28,20.0,2018-05-14 05:45:00
277.09,290.47,277.09,290.47,50.0,2018-05-20 05:45:00
296.04,296.04,296.04,296.04,10.0,2018-05-21 05:45:00
310.54,310.54,310.54,310.54,10.0,2018-05-24 05:45:00
316.67,335.07,316.67,335.07,40.0,2018-06-10 05:45:00
341.76,341.76,341.76,341.76,10.0,2018-06-11 05:45:00
341.76,341.76,341.76,341.76,10.0,2018-06-13 05:45:00
348.45,361.83,348.45,361.83,30.0,2018-06-17 05:45:00
368.52,368.52,368.52,368.52,10.0,2018-06-20 05:45:00
368.52,368.52,368.52,368.52,10.0,2018-06-24 05:45:00
368.52,368.52,368.52,368.52,10.0,2018-06-27 05:45:00
375.77,375.77,375.77,375.77,10.0,2018-06-28 05:45:00
383.02,383.02,383.02,383.02,10.0,2018-07-03 05:45:00
390.27,390.27,390.27,390.27,10.0,2018-07-05 05:45:00
398.07,398.07,398.07,398.07,10.0,2018-07-08 05:45:00
405.88,405.88,405.32,405.32,10.0,2018-07-10 05:45:00
417.58,425.39,417.58,425.39,20.0,2018-07-12 05:45:00
446.58,455.5,446.58,455.5,20.0,2018-07-15 05:45:00
464.42,464.42,464.42,464.42,10.0,2018-07-22 05:45:00
487.27,510.69,487.27,510.69,70.0,2018-07-25 05:45:00
520.73,520.73,520.73,520.73,10.0,2018-07-26 05:45:00
546.38,572.58,546.38,572.58,70.0,2018-08-06 05:45:00
601.01,629.44,601.01,629.44,110.0,2018-08-07 05:45:00
660.66,691.88,660.66,691.88,360.0,2018-08-08 05:45:00
726.45,761.02,635.58,637.25,8017.0,2018-08-09 05:45:00
624.98,624.98,573.69,573.69,80.0,2018-08-12 05:45:00
562.54,562.54,516.82,516.82,120.0,2018-08-13 05:45:00
506.79,516.82,465.53,507.35,2210.0,2018-08-14 05:45:00
497.31,506.79,487.82,503.44,1090.0,2018-08-15 05:45:00
504.56,515.71,496.19,499.55,1330.0,2018-08-16 05:45:00
490.62,490.62,481.7,481.7,570.0,2018-08-19 05:45:00
473.89,473.89,454.38,458.84,750.0,2018-08-20 05:45:00
454.38,455.5,441.0,452.71,430.0,2018-08-21 05:45:00
446.02,454.38,446.02,448.25,430.0,2018-08-22 05:45:00
457.16,457.16,441.56,441.56,240.0,2018-08-23 05:45:00
434.31,442.68,433.19,440.44,665.0,2018-08-26 05:45:00
434.87,439.33,428.73,439.33,1087.0,2018-08-28 05:45:00
430.96,446.02,430.41,446.02,910.0,2018-08-29 05:45:00
446.02,457.16,446.02,449.36,344.0,2018-08-30 05:45:00
454.38,454.38,437.1,447.13,479.0,2018-09-02 05:45:00
456.05,471.11,447.13,457.16,950.0,2018-09-03 05:45:00
466.09,466.09,448.81,451.59,100.0,2018-09-04 05:45:00
454.38,467.77,453.82,453.82,830.0,2018-09-05 05:45:00
457.16,473.89,457.16,458.28,1540.0,2018-09-06 05:45:00
449.92,458.28,449.92,451.59,130.0,2018-09-09 05:45:00
451.59,495.08,451.59,495.08,1717.0,2018-09-10 05:45:00
502.88,512.91,491.73,501.21,1590.0,2018-09-11 05:45:00
510.13,510.13,492.29,504.56,560.0,2018-09-12 05:45:00
494.52,504.56,494.52,496.19,80.0,2018-09-13 05:45:00
496.19,501.77,486.72,501.77,200.0,2018-09-16 05:45:00
492.29,492.29,491.73,492.29,40.0,2018-09-17 05:45:00
501.21,501.21,482.81,487.82,214.0,2018-09-18 05:45:00
487.82,487.82,480.03,482.26,80.0,2018-09-20 05:45:00
481.14,495.08,476.68,486.16,320.0,2018-09-23 05:45:00
495.64,495.64,495.08,495.64,40.0,2018-09-25 05:45:00
486.16,486.16,476.68,480.03,70.0,2018-09-26 05:45:00
480.03,490.06,479.47,479.47,175.0,2018-09-27 05:45:00
475.02,475.02,459.4,468.33,200.0,2018-09-30 05:45:00
478.35,478.35,461.07,461.07,160.0,2018-10-01 05:45:00
461.07,467.77,455.5,455.5,110.0,2018-10-02 05:45:00
447.13,462.74,447.13,454.94,170.0,2018-10-03 05:45:00
446.58,466.09,446.58,457.73,1000.0,2018-10-04 05:45:00
466.65,466.65,449.36,466.65,870.0,2018-10-07 05:45:00
457.73,466.65,450.49,457.16,300.0,2018-10-08 05:45:00
448.81,453.82,447.13,447.13,210.0,2018-10-09 05:45:00
446.02,446.58,441.0,446.58,130.0,2018-10-10 05:45:00
446.02,451.59,440.44,451.59,190.0,2018-10-11 05:45:00
446.58,460.51,446.58,449.92,330.0,2018-10-14 05:45:00
443.24,447.69,443.24,447.69,70.0,2018-10-15 05:45:00
447.69,447.69,424.83,425.39,150.0,2018-10-29 05:45:00
419.27,427.62,419.27,420.93,160.0,2018-10-30 05:45:00
413.12,415.35,403.65,406.43,813.0,2018-10-31 05:45:00
406.43,420.93,406.43,420.93,1067.0,2018-11-01 05:45:00
412.57,417.03,409.21,409.78,90.0,2018-11-04 05:45:00
409.78,425.39,409.78,418.71,183.0,2018-11-05 05:45:00
406.99,414.8,406.99,414.8,10.0,2018-11-11 05:45:00
418.14,422.6,414.24,414.24,260.0,2018-11-12 05:45:00
414.24,414.24,414.24,414.24,40.0,2018-11-13 05:45:00
414.24,422.04,406.43,422.04,80.0,2018-11-14 05:45:00
418.14,418.14,413.68,413.68,150.0,2018-11-15 05:45:00
413.68,418.14,389.71,389.71,150.0,2018-11-18 05:45:00
389.71,390.27,383.58,385.25,80.0,2018-11-19 05:45:00
385.25,385.25,381.9,384.69,110.0,2018-11-20 05:45:00
384.69,391.94,380.23,382.46,80.0,2018-11-21 05:45:00
382.46,384.69,370.75,377.43,130.0,2018-11-22 05:45:00
377.43,377.43,359.6,362.39,90.0,2018-11-25 05:45:00
362.39,362.39,355.14,355.14,100.0,2018-11-26 05:45:00
355.14,355.14,351.24,351.8,620.0,2018-11-27 05:45:00
354.03,356.81,352.9,352.9,90.0,2018-11-28 05:45:00
352.9,356.81,346.22,351.24,260.0,2018-11-29 05:45:00
351.24,351.24,344.55,351.24,640.0,2018-12-02 05:45:00
356.26,362.96,349.01,349.01,220.0,2018-12-03 05:45:00
349.01,349.01,332.28,332.28,100.0,2018-12-04 05:45:00
332.28,332.28,312.77,313.33,120.0,2018-12-05 05:45:00
307.2,307.2,301.62,307.2,70.0,2018-12-06 05:45:00
309.43,319.46,309.43,319.46,180.0,2018-12-09 05:45:00
320.58,320.58,320.58,320.58,30.0,2018-12-10 05:45:00
323.36,326.15,320.58,326.15,140.0,2018-12-11 05:45:00
323.36,323.36,323.36,323.36,40.0,2018-12-12 05:45:00
328.93,328.93,328.93,328.93,10.0,2018-12-13 05:45:00
334.51,341.2,327.82,341.2,70.0,2018-12-16 05:45:00
341.2,367.96,334.51,367.96,130.0,2018-12-17 05:45:00
365.18,379.67,365.18,373.54,430.0,2018-12-18 05:45:00
373.54,373.54,366.29,368.52,50.0,2018-12-19 05:45:00
368.52,368.52,361.27,361.27,290.0,2018-12-20 05:45:00
356.81,379.12,351.24,379.12,200.0,2018-12-23 05:45:00
379.12,379.12,373.54,378.0,200.0,2018-12-24 05:45:00
370.75,384.69,365.73,370.75,260.0,2018-12-26 05:45:00
378.0,379.12,370.75,370.75,150.0,2018-12-27 05:45:00
364.07,365.73,363.51,365.18,490.0,2018-12-30 05:45:00
365.18,367.96,365.18,367.96,50.0,2018-12-31 05:45:00
367.96,367.96,356.81,362.39,130.0,2019-01-01 05:45:00
362.39,362.39,355.14,355.14,10.0,2019-01-02 05:45:00
348.45,348.45,345.66,345.66,250.0,2019-01-03 05:45:00
345.66,352.35,345.66,345.66,110.0,2019-01-06 05:45:00
338.98,338.98,334.51,337.3,40.0,2019-01-07 05:45:00
343.99,345.66,343.43,343.43,80.0,2019-01-08 05:45:00
340.1,350.12,340.1,350.12,50.0,2019-01-09 05:45:00
350.12,370.75,350.12,370.75,120.0,2019-01-10 05:45:00
370.75,370.75,351.24,351.24,70.0,2019-01-13 20:45:00
351.24,357.93,344.55,357.93,170.0,2019-01-14 20:45:00
357.93,370.75,352.35,370.75,180.0,2019-01-15 20:45:00
370.75,378.56,370.75,371.31,370.0,2019-01-16 20:45:00
371.31,371.31,356.81,358.49,340.0,2019-01-17 20:45:00
358.49,358.49,351.8,354.03,70.0,2019-01-20 20:45:00
354.03,364.07,351.24,356.81,240.0,2019-01-21 20:45:00
356.81,363.51,356.26,362.96,60.0,2019-01-22 20:45:00
362.96,362.96,343.99,360.72,60.0,2019-01-23 20:45:00
360.72,366.85,354.03,357.37,120.0,2019-01-24 20:45:00
357.37,357.37,354.03,354.03,160.0,2019-01-27 20:45:00
354.03,389.16,354.03,389.16,720.0,2019-01-28 20:45:00
389.16,418.14,389.16,406.99,1755.0,2019-01-29 20:45:00
406.99,406.99,395.29,396.96,440.0,2019-01-30 20:45:00
396.96,414.8,393.05,414.8,965.0,2019-01-31 20:45:00
407.55,418.14,401.97,406.99,450.0,2019-02-03 20:45:00
399.19,406.99,392.5,395.29,190.0,2019-02-04 20:45:00
390.27,400.86,390.27,393.61,520.0,2019-02-05 20:45:00
393.05,394.73,393.05,394.73,120.0,2019-02-06 20:45:00
397.51,398.63,390.82,398.63,480.0,2019-02-07 20:45:00
