open,high,low,close,volume,date
116.83,118.95,116.83,118.95,17.0,2019-06-17 05:45:00
124.88,124.88,124.88,124.88,8.0,2019-06-24 05:45:00
130.8,130.8,130.8,130.8,8.0,2019-06-26 05:45:00
137.15,143.5,137.15,143.5,58.0,2019-06-30 05:45:00
150.27,150.27,150.27,150.27,8.0,2019-07-01 05:45:00
157.47,160.43,157.47,160.43,17.0,2019-07-03 05:45:00
168.05,176.1,168.05,176.1,42.0,2019-07-04 05:45:00
184.56,193.45,184.56,193.45,3397.0,2019-07-07 05:45:00
202.76,207.42,190.49,196.84,7902.0,2019-07-08 05:45:00
196.42,202.76,195.15,202.34,2592.0,2019-07-09 05:45:00
198.95,201.07,196.42,196.84,1025.0,2019-07-10 05:45:00
194.3,198.53,194.3,197.26,1500.0,2019-07-11 05:45:00
197.26,198.95,195.57,196.84,1167.0,2019-07-14 05:45:00
198.95,201.07,196.84,199.8,708.0,2019-07-15 05:45:00
199.8,203.19,196.84,199.38,458.0,2019-07-16 05:45:00
196.42,202.76,196.42,201.07,642.0,2019-07-17 05:45:00
201.07,204.88,200.22,200.22,300.0,2019-07-18 05:45:00
196.84,211.23,196.84,211.23,1390.0,2019-07-21 05:45:00
208.69,220.12,204.88,208.69,746.0,2019-07-22 05:45:00
218.85,218.85,203.61,209.11,1117.0,2019-07-23 05:45:00
206.15,219.7,206.15,219.7,2898.0,2019-07-24 05:45:00
215.89,224.78,209.11,218.43,7242.0,2019-07-25 05:45:00
221.39,221.39,210.38,212.92,1000.0,2019-07-28 05:45:00
215.89,232.82,215.89,232.82,2275.0,2019-07-29 05:45:00
237.48,252.72,230.28,252.72,1910.0,2019-07-30 05:45:00
252.72,277.69,249.75,277.69,2708.0,2019-07-31 05:45:00
283.19,305.2,281.08,305.2,3058.0,2019-08-01 05:45:00
320.44,335.68,320.02,335.68,1475.0,2019-08-04 05:45:00
342.03,369.12,330.18,349.23,8818.0,2019-08-05 05:45:00
345.0,345.0,314.52,317.06,3224.0,2019-08-06 05:45:00
311.13,342.88,292.08,340.76,1725.0,2019-08-07 05:45:00
333.99,335.68,317.48,335.68,442.0,2019-08-08 05:45:00
342.03,369.12,342.03,354.31,3225.0,2019-08-11 05:45:00
349.23,358.96,345.84,350.92,883.0,2019-08-12 05:45:00
345.0,357.27,344.57,348.81,688.0,2019-08-13 05:45:00
342.03,348.81,342.03,348.81,883.0,2019-08-14 05:45:00
342.46,350.92,342.46,350.92,425.0,2019-08-15 05:45:00
345.42,351.35,339.07,349.23,1167.0,2019-08-18 05:45:00
342.88,358.54,342.88,353.04,783.0,2019-08-19 05:45:00
347.11,353.46,346.27,353.46,392.0,2019-08-20 05:45:00
347.11,347.11,341.19,343.3,558.0,2019-08-21 05:45:00
343.3,347.11,340.34,343.3,300.0,2019-08-22 05:45:00
343.3,347.11,335.68,347.11,700.0,2019-08-25 05:45:00
342.88,347.11,338.65,343.73,1117.0,2019-08-26 05:45:00
338.65,347.53,338.65,346.27,425.0,2019-08-27 05:45:00
346.27,346.27,338.65,344.57,658.0,2019-08-28 05:45:00
342.88,345.84,339.49,345.84,75.0,2019-08-29 05:45:00
339.49,343.73,339.49,343.73,175.0,2019-09-01 05:45:00
338.65,342.03,337.38,342.03,992.0,2019-09-02 05:45:00
335.26,355.58,335.26,355.58,376.0,2019-09-03 05:45:00
352.62,352.62,339.07,344.15,308.0,2019-09-04 05:45:00
338.65,345.0,338.65,345.0,483.0,2019-09-05 05:45:00
341.61,342.88,338.65,342.46,142.0,2019-09-08 05:45:00
336.53,340.76,336.11,340.76,267.0,2019-09-09 05:45:00
340.76,343.73,335.26,342.88,267.0,2019-09-10 05:45:00
342.88,342.88,337.8,340.76,158.0,2019-09-11 05:45:00
338.65,338.65,334.84,337.8,207.0,2019-09-12 05:45:00
344.15,344.15,332.3,338.65,575.0,2019-09-15 05:45:00
