Date,LTP,Change,High,Low,Open,Quantity,Turnover
2023/07/13,967.00,-1.73,"1,002.90",950.00,"1,002.90","2,606","2,508,331.70"
2023/07/12,984.00,3.8,984.30,933.00,966.90,"3,300","3,191,975.30"
2023/07/11,948.00,-1.76,969.00,931.00,969.00,"1,314","1,241,911.50"
2023/07/10,965.00,1.58,965.00,936.00,947.00,"1,455","1,376,891.10"
2023/07/09,950.00,0.53,960.00,926.60,960.00,"1,223","1,147,960.70"
2023/07/06,945.00,1.06,948.00,935.10,935.10,480,"451,640.40"
2023/07/05,935.10,-1.36,954.00,935.10,936.00,"1,090","1,021,564.80"
2023/07/04,948.00,1.83,948.00,930.00,930.00,285,"266,600.00"
2023/07/03,931.00,0.43,968.00,931.00,944.00,"2,961","2,827,175.30"
2023/07/02,927.00,-4.92,985.00,927.00,984.00,"2,577","2,472,482.00"
2023/06/28,975.00,-3.85,"1,034.00",963.00,"1,034.00","2,670","2,711,563.20"
2023/06/27,"1,014.00",5.85,"1,022.00",974.00,975.00,"5,728","5,732,934.40"
2023/06/26,958.00,7.4,958.00,900.00,909.80,"2,877","2,641,058.00"
2023/06/25,892.00,0.39,924.00,872.00,872.10,"2,709","2,398,193.00"
2023/06/22,888.50,-2.04,907.00,888.50,907.00,"1,518","1,350,798.00"
2023/06/21,907.00,0.43,914.00,890.00,891.00,"2,673","2,425,767.00"
2023/06/20,903.10,-1.84,938.40,902.00,904.00,"2,140","1,938,323.50"
2023/06/19,920.00,-1.18,949.00,905.00,931.00,"3,399","3,106,367.30"
2023/06/18,931.00,1.75,931.00,921.90,921.90,"1,655","1,536,809.00"
2023/06/15,915.00,0.88,915.00,900.00,901.00,121,"109,093.00"
2023/06/14,907.00,1.67,943.00,906.00,907.00,"1,794","1,635,760.00"
2023/06/13,892.10,-0.55,910.00,880.00,880.00,"1,631","1,461,097.50"
2023/06/12,897.00,-0.33,899.90,865.00,884.00,618,"544,554.80"
2023/06/11,900.00,5.26,900.00,837.90,868.00,"1,775","1,517,041.90"
2023/06/08,855.00,-0.58,855.00,840.00,846.00,924,"777,944.00"
2023/06/07,860.00,3.49,881.00,847.00,847.00,636,"545,348.00"
2023/06/06,831.00,0,847.00,815.10,817.50,"1,344","1,132,589.90"
2023/06/05,831.00,1.34,836.30,803.60,836.30,"3,931","3,205,123.80"
2023/06/04,931.20,1.55,949.00,910.00,935.00,"4,690","4,350,373.10"
2023/06/01,917.00,1.89,918.00,890.00,890.00,693,"626,860.00"
2023/05/31,900.00,-2.17,905.00,886.90,902.00,"4,249","3,813,893.90"
2023/05/30,920.00,-1.6,920.00,903.00,917.00,"2,355","2,139,467.00"
2023/05/28,935.00,-1.58,982.00,935.00,960.00,"4,760","4,546,900.00"
2023/05/24,950.00,4.37,950.00,915.00,928.40,"3,224","3,018,346.50"
2023/05/23,910.20,6.22,923.00,857.00,873.00,"3,497","3,125,022.50"
2023/05/22,856.90,1.53,856.90,827.20,830.00,450,"378,043.40"
2023/05/21,844.00,-0.12,844.90,830.10,830.10,"2,326","1,943,456.50"
2023/05/18,845.00,2.05,861.00,837.00,837.00,"1,562","1,318,751.30"
2023/05/17,828.00,1.6,828.00,820.00,826.80,192,"158,564.50"
2023/05/16,815.00,-0.61,815.00,815.00,815.00,10,"8,150.00"
2023/05/15,820.00,1.26,820.00,805.00,812.00,180,"145,550.00"
2023/05/14,809.80,1.84,809.80,796.10,804.00,470,"375,958.00"
2023/05/11,795.20,-3.85,826.10,795.20,810.70,"1,894","1,544,659.30"
2023/05/10,827.00,1.85,827.00,815.00,815.00,52,"42,536.00"
2023/05/09,812.00,-1.46,812.00,812.00,812.00,100,"81,200.00"
2023/05/08,824.00,-1.48,824.00,808.10,820.20,404,"328,729.60"
2023/05/07,836.40,-2.52,840.90,820.00,840.90,182,"150,043.00"
2023/05/04,858.00,-0.46,858.00,812.60,844.80,458,"379,455.00"
2023/05/03,862.00,1.82,862.00,862.00,862.00,10,"8,620.00"
2023/05/02,846.60,1.39,846.60,822.00,830.00,"1,499","1,242,187.50"
2023/04/30,835.00,-0.67,835.00,827.00,827.00,175,"145,531.50"
2023/04/27,840.60,1.89,840.60,814.50,814.50,123,"100,768.50"
2023/04/26,825.00,-2.82,849.60,825.00,849.00,420,"349,316.00"
2023/04/25,848.90,1.14,848.90,825.10,825.50,285,"239,780.20"
2023/04/24,839.30,1.98,839.30,824.00,824.00,126,"104,077.00"
2023/04/23,823.00,-0.42,829.00,817.50,817.50,870,"717,074.10"
2023/04/20,826.50,-0.06,843.50,826.50,843.50,435,"361,858.00"
2023/04/19,827.00,-0.13,844.40,827.00,830.00,362,"299,920.00"
2023/04/18,828.10,0,835.00,828.10,828.10,177,"146,642.70"
2023/04/17,828.10,-2.23,844.00,828.10,843.90,710,"591,782.40"
2023/04/16,847.00,1.42,849.90,828.10,845.00,844,"705,661.60"
2023/04/13,835.10,-1.05,851.70,827.30,840.00,"1,090","914,803.00"
2023/04/12,844.00,4.22,851.00,824.90,824.90,"1,033","867,578.00"
2023/04/11,809.80,3.37,809.80,789.00,789.00,160,"127,713.40"
2023/04/10,783.40,-0.23,799.00,775.00,787.00,343,"270,637.90"
2023/04/09,785.20,-1.73,799.00,785.10,785.10,942,"743,014.70"
2023/04/06,799.00,-2.32,834.00,788.60,834.00,"1,030","818,138.60"
2023/04/05,818.00,1.11,818.00,793.90,809.90,"1,035","834,663.00"
2023/04/04,809.00,1.7,809.00,781.00,785.20,573,"455,675.80"
2023/04/03,795.50,-3.91,812.00,795.50,812.00,286,"228,579.00"
2023/04/02,827.90,-3.28,844.00,810.00,856.00,"1,917","1,579,558.50"
2023/03/30,856.00,-0.09,872.00,841.00,841.00,363,"307,563.00"
2023/03/29,856.80,0.73,856.80,834.50,850.00,555,"467,283.00"
2023/03/28,850.60,3.35,868.30,823.00,823.00,"1,274","1,066,316.10"
2023/03/27,823.00,-0.84,825.00,756.00,814.00,"2,278","1,797,273.00"
2023/03/26,830.00,-6.11,867.00,830.00,867.00,"1,146","964,556.80"
2023/03/23,884.00,-1.78,885.00,864.60,882.00,"1,752","1,526,878.00"
2023/03/22,900.00,-2.84,910.00,900.00,910.00,"1,530","1,384,120.40"
2023/03/20,926.30,-2.6,951.00,923.20,951.00,"1,148","1,067,959.90"
2023/03/19,951.00,-0.11,951.00,951.00,951.00,130,"123,630.00"
2023/03/16,952.00,-1.96,988.00,931.00,970.00,"1,605","1,546,163.60"
2023/03/15,971.00,-0.1,971.00,952.60,954.00,257,"245,158.20"
2023/03/14,972.00,-0.51,979.00,941.20,960.10,"1,169","1,121,471.50"
2023/03/13,977.00,-3.98,"1,029.20",977.00,"1,029.20",380,"372,594.00"
2023/03/12,"1,017.50",1.85,"1,017.50",963.00,980.00,"1,727","1,713,650.60"
2023/03/09,999.00,5.14,"1,004.90",961.90,969.00,"1,059","1,038,887.00"
2023/03/07,950.20,-3.43,985.00,934.20,985.00,728,"691,417.60"
2023/03/05,984.00,2.29,997.00,903.00,980.00,"5,703","5,442,571.10"
2023/03/02,962.00,-2.95,975.00,937.00,975.00,"1,457","1,387,474.50"
2023/03/01,991.20,-4.23,"1,033.90",989.40,"1,030.00","1,305","1,308,782.00"
2023/02/28,"1,035.00",-0.96,"1,051.00","1,015.00","1,047.00","4,560","4,742,039.90"
2023/02/27,"1,045.00",-4.9,"1,100.00","1,025.00","1,100.00","2,211","2,318,842.00"
2023/02/26,"1,098.90",1.33,"1,101.00",977.00,"1,063.00","3,617","3,704,175.00"
2023/02/23,"1,084.50",-10,"1,224.00","1,084.50","1,224.00","7,172","7,802,348.60"
2023/02/22,"1,205.00",4.78,"1,219.00","1,173.00","1,173.00","2,953","3,531,081.50"
2023/02/20,"1,150.00",-4.96,"1,234.00","1,150.00","1,224.00","2,025","2,382,193.00"
2023/02/16,"1,210.00",-1.87,"1,257.60","1,210.00","1,255.00","2,930","3,630,318.60"
2023/02/15,"1,233.00",-1.99,"1,267.80","1,233.00","1,267.80","1,581","1,972,911.60"
2023/02/14,"1,258.00",1.04,"1,275.00","1,235.00","1,260.00","2,190","2,748,162.30"
2023/02/12,"1,245.00",-2.35,"1,275.90","1,245.00","1,270.00","3,177","3,984,100.40"
2022/07/28,940.00,-2.59,990.00,940.00,984.00,"10,053","9,714,121.90"
2022/07/27,965.00,7.46,965.00,875.00,880.10,"4,790","4,379,772.70"
2022/07/26,898.00,-2.39,924.00,887.00,905.00,"3,320","2,986,250.50"
2022/07/25,920.00,4.07,920.00,884.00,901.60,"5,153","4,672,231.70"
2022/07/24,884.00,4.74,885.00,827.20,848.00,"3,338","2,830,040.60"
2022/07/22,844.00,-1.86,860.00,826.00,860.00,"1,120","935,752.00"
2022/07/21,860.00,-0.58,879.00,858.00,875.00,"1,671","1,446,127.00"
2022/07/20,865.00,0.59,880.00,843.00,859.00,"1,870","1,625,999.00"
2023/02/09,"1,275.00",0.71,"1,316.00","1,265.00","1,291.00",727,"934,042.00"
2023/02/08,"1,266.00",-0.71,"1,326.60","1,266.00","1,300.00","1,345","1,726,382.50"
2023/02/07,"1,275.10",1.2,"1,297.00","1,275.10","1,285.00","1,603","2,056,699.60"
2023/02/06,"1,260.00",0.67,"1,260.00","1,241.20","1,255.00",595,"745,304.00"
2023/02/05,"1,251.60",-2.85,"1,280.00","1,251.60","1,264.10","2,470","3,112,690.00"
2023/02/02,"1,288.30",-0.9,"1,293.00","1,270.00","1,293.00","1,204","1,538,246.00"
2023/02/01,"1,300.00",-0.91,"1,318.00","1,276.00","1,318.00","1,816","2,338,061.20"
2023/01/31,"1,312.00",4.13,"1,339.50","1,260.00","1,260.00","3,280","4,285,504.50"
2023/01/30,"1,260.00",-4.83,"1,330.00","1,260.00","1,330.00","3,857","4,995,398.80"
2023/01/29,"1,324.00",-1.34,"1,334.00","1,312.10","1,320.00","2,587","3,411,883.90"
2023/01/26,"1,342.00",-2.04,"1,395.00","1,320.00","1,395.00","4,175","5,598,039.00"
2023/01/25,"1,370.00",-1.44,"1,443.00","1,350.00","1,366.00","3,618","4,984,147.20"
2023/01/24,"1,390.00",3.13,"1,396.00","1,315.00","1,368.00","13,733","18,511,921.90"
2023/01/23,"1,347.80",5.21,"1,371.90","1,291.00","1,291.00","17,607","23,453,511.10"
2023/01/19,"1,281.00",-3.32,"1,300.00","1,275.50","1,300.00",605,"778,151.00"
2023/01/18,"1,325.00",3.27,"1,325.00","1,267.00","1,298.00","9,403","12,194,052.50"
2023/01/17,"1,283.00",3.88,"1,283.00","1,221.00","1,221.00","4,955","6,177,749.00"
2023/01/12,"1,235.10",-2.75,"1,300.00","1,235.10","1,295.00","3,255","4,083,812.60"
2023/01/10,"1,270.00",-1.7,"1,320.00","1,266.30","1,317.00","6,311","8,118,289.00"
2023/01/09,"1,292.00",-0.62,"1,315.00","1,280.00","1,315.00","9,538","12,356,023.20"
2023/01/08,"1,300.00",-3.63,"1,351.00","1,297.10","1,323.00","9,903","13,129,237.30"
2023/01/05,"1,349.00",1.89,"1,351.00","1,300.00","1,318.90","14,830","19,662,217.90"
2023/01/04,"1,324.00",4.5,"1,324.00","1,255.00","1,284.90","9,622","12,349,703.90"
2023/01/03,"1,267.00",2.84,"1,283.90","1,226.00","1,256.60","10,614","13,341,939.30"
2023/01/02,"1,232.00",6.85,"1,244.00","1,141.70","1,176.00","11,235","13,449,588.10"
2023/01/01,"1,153.00",-1.45,"1,183.90","1,142.70","1,183.90","5,423","6,257,496.00"
2022/12/29,"1,170.00",1.74,"1,192.00","1,148.00","1,148.00","3,782","4,407,679.00"
2022/12/28,"1,150.00",0.26,"1,168.00","1,133.00","1,168.00","2,566","2,945,416.00"
2022/12/27,"1,147.00",0,"1,188.00","1,147.00","1,165.00","8,691","10,110,138.30"
2022/12/26,"1,147.00",2.5,"1,147.00","1,113.00","1,126.00","3,076","3,498,465.50"
2022/12/22,"1,119.00",-0.09,"1,124.00","1,102.50","1,110.00","1,497","1,672,126.10"
2022/12/21,"1,120.00",-1.3,"1,126.00","1,111.00","1,126.00","2,080","2,318,867.60"
2022/12/20,"1,134.80",2.79,"1,137.00","1,103.00","1,103.00","1,915","2,162,667.60"
2022/12/19,"1,104.00",1.85,"1,104.00","1,075.00","1,075.00",690,"755,852.00"
2022/12/18,"1,084.00",-1.99,"1,098.00","1,069.00","1,098.00","10,718","11,563,264.80"
2022/12/15,"1,106.00",-3.5,"1,140.00","1,103.00","1,125.10","4,774","5,325,273.10"
