open,high,low,close,volume,date
284.76,313.24,284.76,313.24,6650.0,2023-03-05 05:45:00
319.43,344.48,319.43,344.48,14850.0,2023-03-07 20:45:00
351.33,372.38,338.1,362.86,68817.0,2023-03-09 20:45:00
362.86,363.81,345.81,346.86,63702.0,2023-03-12 20:45:00
346.67,346.67,328.57,337.14,29842.0,2023-03-13 20:45:00
332.38,370.86,332.38,368.57,45140.0,2023-03-14 20:45:00
361.24,369.62,357.81,368.76,33952.0,2023-03-15 20:45:00
361.43,387.43,361.43,381.9,46216.0,2023-03-16 20:45:00
383.81,387.14,370.48,380.0,31720.0,2023-03-19 20:45:00
376.19,385.9,373.43,381.9,26018.0,2023-03-20 20:45:00
389.52,405.14,383.81,383.9,39330.0,2023-03-22 20:45:00
391.43,391.43,372.38,372.86,25112.0,2023-03-23 20:45:00
380.29,380.95,365.71,371.43,22001.0,2023-03-26 20:45:00
378.1,378.1,359.05,373.52,17065.0,2023-03-27 20:45:00
380.95,383.81,368.67,373.33,26098.0,2023-03-28 20:45:00
380.0,380.0,365.05,376.0,28707.0,2023-03-29 20:45:00
376.1,379.05,368.86,376.19,16967.0,2023-03-30 20:45:00
376.19,376.19,361.81,366.67,20541.0,2023-04-02 20:45:00
359.33,364.76,352.38,356.29,15636.0,2023-04-03 20:45:00
349.52,379.05,349.52,361.9,14200.0,2023-04-04 20:45:00
357.14,364.76,352.57,361.9,12324.0,2023-04-05 20:45:00
354.95,364.76,354.95,361.9,7990.0,2023-04-06 20:45:00
354.76,356.19,349.81,354.29,8500.0,2023-04-09 20:45:00
347.62,356.19,347.62,356.19,9000.0,2023-04-10 20:45:00
350.48,370.48,350.48,363.33,5901.0,2023-04-11 20:45:00
361.9,387.62,360.0,380.0,18844.0,2023-04-12 20:45:00
372.57,400.0,366.76,371.43,23436.0,2023-04-13 20:45:00
364.76,380.0,357.52,366.76,7015.0,2023-04-16 20:45:00
359.52,366.67,358.19,363.81,8880.0,2023-04-17 20:45:00
357.14,368.48,357.14,368.48,6982.0,2023-04-18 20:45:00
361.14,398.1,355.24,380.86,6363.0,2023-04-19 20:45:00
376.19,388.57,371.43,376.19,19178.0,2023-04-20 20:45:00
382.86,391.33,365.05,367.05,6750.0,2023-04-23 20:45:00
361.9,373.33,361.9,367.62,5580.0,2023-04-24 20:45:00
360.29,378.1,360.29,371.52,8116.0,2023-04-25 20:45:00
365.33,379.14,364.95,364.95,7257.0,2023-04-26 20:45:00
362.86,379.9,362.86,379.9,13885.0,2023-04-27 20:45:00
372.38,378.57,368.29,372.29,5170.0,2023-04-30 20:45:00
365.24,367.62,361.9,366.67,4990.0,2023-05-02 20:45:00
366.67,366.67,355.52,362.86,6413.0,2023-05-03 20:45:00
355.62,371.43,355.24,371.43,6909.0,2023-05-04 20:45:00
364.76,371.43,359.05,363.81,3090.0,2023-05-07 20:45:00
357.24,366.67,357.24,364.67,9604.0,2023-05-08 20:45:00
357.62,384.67,357.62,366.67,10698.0,2023-05-09 20:45:00
371.43,371.43,361.9,370.48,9321.0,2023-05-10 20:45:00
363.14,371.43,356.19,368.48,2010.0,2023-05-11 20:45:00
375.24,375.24,350.57,361.9,4027.0,2023-05-14 20:45:00
354.67,363.81,348.86,360.0,2990.0,2023-05-15 20:45:00
360.0,365.71,350.48,362.86,8090.0,2023-05-16 20:45:00
355.81,370.1,355.81,364.76,12538.0,2023-05-17 20:45:00
371.43,379.81,357.24,379.81,13750.0,2023-05-18 20:45:00
372.29,392.38,367.62,390.48,20687.0,2023-05-21 20:45:00
390.48,395.24,369.62,381.81,13701.0,2023-05-22 20:45:00
381.81,402.86,368.67,400.0,17798.0,2023-05-23 20:45:00
407.62,407.62,381.52,386.38,12552.0,2023-05-24 20:45:00
388.57,401.9,378.1,389.52,32173.0,2023-05-28 20:45:00
381.81,404.76,368.0,396.67,20239.0,2023-05-30 20:45:00
401.9,401.9,367.9,374.29,21835.0,2023-05-31 20:45:00
366.95,380.76,362.86,376.19,17637.0,2023-06-01 20:45:00
380.95,403.81,374.29,395.24,22813.0,2023-06-04 20:45:00
400.0,400.0,388.67,394.29,29996.0,2023-06-05 20:45:00
386.48,411.81,382.38,411.81,27546.0,2023-06-06 20:45:00
412.38,440.0,405.14,422.86,24563.0,2023-06-07 20:45:00
427.62,440.95,406.76,432.29,15135.0,2023-06-08 20:45:00
438.1,446.67,423.81,438.1,34598.0,2023-06-11 20:45:00
429.33,438.1,415.24,421.62,30141.0,2023-06-12 20:45:00
414.29,447.05,406.0,420.95,29174.0,2023-06-13 20:45:00
414.29,439.05,414.29,423.81,45410.0,2023-06-14 20:45:00
428.57,438.95,420.0,438.1,36005.0,2023-06-15 20:45:00
438.1,481.9,429.43,481.9,28766.0,2023-06-18 20:45:00
472.29,472.29,444.57,460.0,20197.0,2023-06-19 20:45:00
466.67,466.67,433.33,440.95,17933.0,2023-06-20 20:45:00
432.38,447.62,420.0,423.81,20231.0,2023-06-21 20:45:00
419.05,447.62,414.29,432.95,26027.0,2023-06-22 20:45:00
441.52,450.29,407.62,450.29,35861.0,2023-06-25 20:45:00
441.33,441.33,413.33,419.05,29943.0,2023-06-26 20:45:00
419.05,423.81,409.9,414.29,28113.0,2023-06-27 20:45:00
419.05,439.52,400.0,400.0,19920.0,2023-06-28 20:45:00
395.24,408.0,395.24,399.05,14396.0,2023-07-02 20:45:00
406.95,406.95,381.05,402.86,15987.0,2023-07-03 20:45:00
402.86,408.57,389.43,405.71,6311.0,2023-07-04 20:45:00
397.62,397.62,384.38,387.52,10659.0,2023-07-05 20:45:00
380.0,398.1,380.0,398.1,8502.0,2023-07-06 20:45:00
405.62,405.62,373.9,394.29,11000.0,2023-07-09 20:45:00
386.48,400.86,374.29,374.29,12419.0,2023-07-10 20:45:00
366.86,378.1,366.86,371.9,9365.0,2023-07-11 20:45:00
365.71,406.19,365.71,389.52,4669.0,2023-07-12 20:45:00
389.52,413.24,380.0,380.0,6190.0,2023-07-13 20:45:00
373.33,401.9,359.52,401.9,6252.0,2023-07-16 20:45:00
393.9,393.9,371.43,392.38,5015.0,2023-07-17 20:45:00
384.57,399.05,376.95,391.43,9023.0,2023-07-18 20:45:00
395.71,397.14,374.0,378.1,9247.0,2023-07-19 20:45:00
371.52,386.76,371.43,385.52,5060.0,2023-07-20 20:45:00
388.57,407.62,377.14,395.24,7116.0,2023-07-23 20:45:00
403.14,403.14,379.05,382.95,5608.0,2023-07-24 20:45:00
375.43,382.86,372.38,376.29,2900.0,2023-07-25 20:45:00
370.48,379.05,370.48,374.76,2823.0,2023-07-26 20:45:00
367.62,374.29,367.62,367.71,4748.0,2023-07-27 20:45:00
367.81,374.29,361.24,363.81,5193.0,2023-07-30 20:45:00
371.05,386.57,350.29,362.38,3020.0,2023-07-31 20:45:00
362.38,379.05,357.14,379.05,3209.0,2023-08-01 20:45:00
371.52,371.52,356.86,363.71,2880.0,2023-08-02 20:45:00
357.14,384.76,354.38,354.38,4350.0,2023-08-03 20:45:00
348.57,366.67,335.24,366.67,7054.0,2023-08-06 20:45:00
359.33,366.67,331.62,357.52,3200.0,2023-08-07 20:45:00
350.38,350.38,338.1,341.9,2969.0,2023-08-08 20:45:00
335.33,375.24,331.43,375.24,6763.0,2023-08-09 20:45:00
371.43,371.43,343.33,353.33,3912.0,2023-08-10 20:45:00
347.62,374.48,341.05,345.81,4380.0,2023-08-13 20:45:00
345.71,352.38,336.19,342.76,3600.0,2023-08-14 20:45:00
336.19,337.14,333.33,334.29,2480.0,2023-08-15 20:45:00
328.57,354.29,324.0,330.48,6273.0,2023-08-16 20:45:00
324.1,350.57,317.81,343.62,7830.0,2023-08-17 20:45:00
336.76,336.76,318.1,323.81,3177.0,2023-08-20 20:45:00
318.1,336.19,314.48,336.19,3260.0,2023-08-21 20:45:00
329.52,341.43,314.48,341.43,3600.0,2023-08-22 20:45:00
340.48,342.86,328.57,340.95,8359.0,2023-08-23 20:45:00
334.29,348.57,326.95,328.57,8426.0,2023-08-24 20:45:00
322.1,328.67,319.05,319.14,2666.0,2023-08-27 20:44:00
314.29,321.05,312.38,318.1,2335.0,2023-08-28 20:45:00
324.29,337.33,312.38,316.19,2590.0,2023-08-29 20:45:00
322.48,328.57,315.71,316.29,2210.0,2023-08-30 20:45:00
322.57,335.52,304.0,305.71,3250.0,2023-09-03 20:45:00
305.71,317.14,301.9,312.38,4360.0,2023-09-04 20:45:00
306.19,318.0,300.95,317.14,1210.0,2023-09-05 20:45:00
311.43,320.95,301.43,320.95,3947.0,2023-09-07 20:45:00
314.57,315.24,296.67,310.57,1820.0,2023-09-10 20:45:00
316.76,320.57,302.86,320.57,3974.0,2023-09-11 20:44:00
314.19,314.29,295.52,297.43,4520.0,2023-09-12 20:45:00
303.33,321.71,295.24,308.57,8100.0,2023-09-13 20:45:00
302.86,310.86,296.95,310.86,3145.0,2023-09-17 20:45:00
316.19,316.19,304.67,312.38,2950.0,2023-09-18 20:45:00
318.57,325.43,302.86,323.81,5284.0,2023-09-19 20:45:00
323.81,356.19,323.81,342.86,13644.0,2023-09-21 20:45:00
336.19,342.86,328.67,328.67,4768.0,2023-09-24 20:45:00
