Open,High,Low,Close,Volume,Date
18.98,18.98,18.98,18.98,125,2012-01-01
18.98,19.64,18.65,19.64,345,2012-01-02
19.64,19.89,19.89,19.89,58,2012-01-03
19.89,19.64,19.64,19.64,302,2012-01-08
19.64,20.47,19.81,20.47,206,2012-01-09
20.47,20.47,19.81,19.81,502,2012-01-10
19.81,20.14,19.81,19.81,146,2012-01-11
19.81,19.97,18.98,19.97,3956,2012-01-12
19.97,20.06,19.73,20.06,1284,2012-01-16
20.06,19.73,19.39,19.39,4712,2012-01-17
19.39,19.06,19.06,19.06,2000,2012-01-18
19.06,18.73,18.32,18.32,5837,2012-01-22
18.32,17.99,17.99,17.99,3000,2012-01-23
17.99,18.82,18.32,18.82,376,2012-01-26
18.82,19.15,19.15,19.15,32,2012-02-01
19.15,19.48,19.48,19.48,10,2012-02-02
19.48,19.81,19.39,19.48,156,2012-02-05
19.48,19.81,18.9,18.9,2522,2012-02-06
18.9,19.64,18.57,19.64,881,2012-02-07
19.64,20.14,18.49,18.98,3581,2012-02-08
19.93,20.19,20.19,20.19,207,2012-03-05
20.19,18.63,17.16,17.25,220,2012-03-15
17.25,16.99,16.81,16.81,1449,2012-03-18
16.81,16.55,16.47,16.47,1332,2012-03-19
16.47,16.64,16.64,16.64,66,2012-03-20
16.64,16.9,16.73,16.9,119,2012-03-21
16.9,17.16,16.9,17.16,126,2012-03-26
17.16,17.42,17.42,17.42,100,2012-03-28
17.42,17.07,16.81,16.81,20,2012-03-29
16.81,18.46,17.07,18.46,668,2012-04-12
18.46,19.5,18.8,19.5,30,2012-04-15
19.5,19.84,19.84,19.84,215,2012-04-17
19.84,19.84,19.84,19.84,196,2012-04-18
19.84,20.36,20.19,20.36,200,2012-04-19
20.36,20.8,20.71,20.8,204,2012-04-22
20.8,21.14,21.14,21.14,10,2012-04-25
21.14,21.49,21.49,21.49,177,2012-04-26
21.49,21.84,21.49,21.49,180,2012-04-29
21.49,22.27,21.84,21.84,250,2012-04-30
21.84,22.27,22.27,22.27,100,2012-05-03
22.27,22.7,22.7,22.7,18,2012-05-08
22.7,22.7,22.7,22.7,323,2012-05-09
22.7,23.14,22.7,23.14,935,2012-05-10
23.14,22.7,21.92,21.92,180,2012-05-14
21.92,22.79,22.36,22.79,482,2012-05-15
22.79,23.66,23.22,23.66,60,2012-05-17
23.66,23.31,23.31,23.31,100,2012-05-21
23.31,23.31,22.88,22.96,500,2012-05-22
22.96,22.62,22.62,22.62,1020,2012-05-24
22.62,23.48,22.62,23.48,1230,2012-05-27
23.48,23.05,21.14,21.14,597,2012-05-29
21.14,20.8,20.1,20.1,664,2012-05-30
20.1,20.1,20.1,20.1,32,2012-05-31
20.1,20.1,20.1,20.1,171,2012-06-04
20.1,20.71,20.45,20.71,1192,2012-06-05
20.71,21.06,21.06,21.06,200,2012-06-06
21.06,21.06,21.06,21.06,461,2012-06-07
21.06,20.8,20.8,20.8,10,2012-06-10
20.8,21.49,21.14,21.49,112,2012-06-13
21.49,21.14,21.14,21.14,10,2012-06-14
21.14,21.49,20.8,21.49,68,2012-06-17
21.49,21.49,20.8,21.49,4325,2012-06-19
21.49,21.14,21.14,21.14,194,2012-06-21
21.14,21.49,21.49,21.49,10,2012-06-25
21.49,21.49,21.14,21.49,270,2012-06-26
21.49,21.58,21.23,21.58,730,2012-06-27
21.58,21.92,21.23,21.92,69,2012-06-28
21.92,21.84,21.49,21.84,30,2012-07-01
21.84,22.27,21.66,22.27,360,2012-07-02
22.27,21.32,20.88,20.88,7320,2012-07-03
20.88,20.88,20.88,20.88,600,2012-07-04
20.88,21.23,20.88,20.88,920,2012-07-05
20.88,20.8,20.1,20.1,970,2012-07-08
20.1,20.54,19.76,20.36,1049,2012-07-09
20.36,20.71,20.71,20.71,14,2012-07-11
20.71,20.36,20.36,20.36,596,2012-07-17
20.36,20.36,20.36,20.36,64,2012-07-18
20.36,20.71,20.71,20.71,55,2012-07-25
20.71,20.62,20.62,20.62,137,2012-08-08
20.62,20.28,19.93,19.93,498,2012-08-16
19.93,20.28,20.19,20.19,250,2012-08-21
20.19,20.45,20.1,20.45,300,2012-08-22
20.45,20.1,19.76,19.76,150,2012-09-03
19.76,19.58,19.24,19.24,424,2012-09-04
19.24,19.58,19.32,19.32,1509,2012-09-05
19.32,18.98,18.98,18.98,60,2012-09-10
18.98,18.98,18.63,18.98,537,2012-09-12
18.98,20.36,19.32,20.36,459,2012-09-13
20.36,21.84,20.02,21.66,2220,2012-09-17
21.66,22.53,21.66,22.53,714,2012-09-18
22.53,22.96,22.1,22.1,1158,2012-09-19
22.1,22.1,22.1,22.1,142,2012-09-20
22.1,23.4,22.53,23.4,30,2012-09-24
23.4,22.96,22.53,22.53,217,2012-09-25
22.53,22.53,22.1,22.53,20,2012-09-26
22.53,22.1,22.1,22.1,180,2012-10-02
22.1,21.84,20.71,20.71,1292,2012-10-03
20.71,20.71,20.36,20.71,4107,2012-10-07
20.71,22.18,20.8,22.18,853,2012-10-08
22.18,22.18,21.75,22.18,262,2012-10-09
22.18,22.44,21.84,22.1,950,2012-10-10
22.1,21.66,21.23,21.23,500,2012-10-11
21.23,20.88,20.88,20.88,500,2012-10-14
20.88,21.14,20.8,21.14,210,2012-10-17
21.14,21.84,21.49,21.84,200,2012-10-18
21.84,21.58,21.58,21.58,10,2012-10-30
21.58,22.53,21.92,22.53,502,2012-10-31
22.53,22.36,22.36,22.36,629,2012-11-01
22.36,22.79,22.62,22.62,587,2012-11-04
22.62,22.79,22.62,22.79,600,2012-11-05
22.79,23.66,23.22,23.66,140,2012-11-07
23.66,23.74,23.4,23.4,300,2012-11-08
23.4,23.83,23.83,23.83,100,2012-11-18
23.83,24.18,24.18,24.18,15,2012-11-21
24.18,24.7,24.18,24.26,1301,2012-11-25
24.26,24.7,23.92,24.26,24057,2012-11-26
24.26,26.69,24.61,26.69,995,2012-11-27
26.69,28.77,27.21,28.25,1628,2012-11-28
28.25,28.25,27.73,28.16,726,2012-11-29
28.16,27.64,27.12,27.12,849,2012-12-02
27.12,26.95,26.86,26.86,1118,2012-12-03
26.86,26.86,26.34,26.86,1049,2012-12-04
26.86,27.9,27.38,27.9,405,2012-12-05
27.9,27.38,26.86,26.86,756,2012-12-06
26.86,26.86,26.78,26.78,690,2012-12-09
26.78,26.95,26.43,26.69,390,2012-12-10
26.69,26.69,26.0,26.52,3050,2012-12-11
26.52,27.73,26.69,26.69,240,2012-12-13
26.69,27.21,27.21,27.21,40,2012-12-17
27.21,26.86,26.69,26.86,645,2012-12-18
26.86,26.95,26.86,26.95,413,2012-12-19
26.95,27.38,26.78,27.38,690,2012-12-20
27.38,28.94,27.9,28.94,413,2012-12-23
28.94,30.33,28.77,30.33,8059,2012-12-24
30.33,30.94,30.33,30.33,450,2012-12-26
30.33,29.9,29.9,29.9,220,2013-01-02
29.9,29.72,29.03,29.03,436,2013-01-03
29.03,29.55,28.68,29.46,2789,2013-01-13
29.46,28.94,28.34,28.34,197,2013-01-16
28.34,28.86,28.77,28.77,113,2013-01-17
28.77,28.42,26.95,26.95,698,2013-01-20
26.95,27.47,26.95,27.3,173,2013-01-21
27.3,27.82,27.82,27.82,1284,2013-01-24
27.82,29.29,28.34,29.03,1615,2013-01-27
29.03,29.55,28.77,28.77,1970,2013-01-28
28.77,28.6,28.34,28.34,407,2013-01-31
28.34,28.86,28.77,28.86,146,2013-02-04
28.86,29.55,29.38,29.55,335,2013-02-05
29.55,29.55,29.55,29.55,100,2013-02-06
29.55,29.03,29.03,29.03,2329,2013-02-07
29.03,29.55,28.68,29.55,493,2013-02-12
29.55,30.07,30.07,30.07,103,2013-02-17
30.07,29.9,29.9,29.9,229,2013-02-21
29.9,30.5,30.33,30.5,79,2013-02-25
30.5,30.24,29.38,29.98,234,2013-02-26
29.98,29.46,29.46,29.46,70,2013-02-27
29.46,28.94,28.94,28.94,100,2013-02-28
28.94,29.46,28.08,28.08,5617,2013-03-05
28.08,28.6,28.6,28.6,63,2013-03-06
28.6,29.64,29.12,29.12,200,2013-03-07
29.12,29.64,29.64,29.64,30,2013-03-11
29.64,30.16,30.16,30.16,200,2013-03-13
30.16,30.07,29.64,29.64,537,2013-03-14
29.64,30.07,29.98,30.07,294,2013-03-17
31.57,30.48,29.57,30.48,5379,2013-03-21
30.48,29.94,28.48,29.03,3241,2013-04-04
29.03,29.57,29.57,29.57,40,2013-04-08
29.57,30.03,29.48,30.03,121,2013-04-09
30.03,29.48,28.39,28.39,100,2013-04-15
28.39,28.66,27.75,28.66,2361,2013-04-17
28.66,28.12,27.57,27.57,661,2013-04-18
27.57,27.12,27.12,27.12,68,2013-04-21
27.12,27.12,26.66,27.12,329,2013-04-22
27.12,26.75,26.66,26.66,450,2013-04-23
26.66,27.12,26.84,26.84,276,2013-04-29
26.84,27.3,27.3,27.3,59,2013-04-30
27.3,26.75,26.75,26.75,190,2013-05-02
26.75,26.3,26.3,26.3,140,2013-05-06
26.3,26.75,26.3,26.3,155,2013-05-08
26.3,26.39,26.3,26.39,208,2013-05-12
26.39,25.93,25.93,25.93,47,2013-05-13
25.93,26.84,26.39,26.84,70,2013-05-14
26.84,28.3,27.3,28.3,90,2013-05-15
28.3,29.94,28.3,29.94,387,2013-05-19
29.94,31.03,30.3,31.03,523,2013-05-20
31.03,30.48,30.03,30.03,4000,2013-05-22
30.03,29.48,29.48,29.48,113,2013-05-23
29.48,28.94,28.39,28.66,620,2013-05-28
28.66,29.03,28.21,29.03,1955,2013-05-30
29.03,29.48,28.48,29.48,210,2013-06-02
29.48,29.48,28.39,28.39,1013,2013-06-03
28.39,29.39,28.21,29.39,717,2013-06-04
29.39,29.94,28.84,29.94,73,2013-06-10
29.94,29.39,29.39,29.39,10,2013-06-17
29.39,28.84,28.12,28.12,3369,2013-06-18
28.12,27.57,27.02,27.02,300,2013-06-20
27.02,27.3,27.3,27.3,858,2013-06-25
27.3,27.48,27.48,27.48,60,2013-06-26
27.48,27.3,27.3,27.3,162,2013-06-30
27.3,26.75,26.75,26.75,68,2013-07-02
26.75,26.84,26.75,26.75,238,2013-07-04
26.75,27.21,27.21,27.21,14,2013-07-08
27.21,27.66,27.66,27.66,179,2013-07-09
27.66,28.21,28.21,28.21,123,2013-07-10
28.21,29.3,28.75,29.3,263,2013-07-14
29.3,29.85,28.75,29.85,262,2013-07-15
29.85,29.57,29.57,29.57,100,2013-07-22
29.57,29.03,29.03,29.03,357,2013-07-23
29.03,29.57,29.12,29.12,440,2013-07-25
29.12,29.12,28.94,29.12,310,2013-07-28
29.12,30.03,29.66,30.03,184,2013-07-29
30.03,30.57,30.57,30.57,85,2013-07-30
30.57,31.66,30.57,31.66,235,2013-07-31
31.66,32.21,32.21,32.21,183,2013-08-05
32.21,33.3,32.57,33.3,138,2013-08-07
33.3,36.58,32.3,36.58,2717,2013-08-08
36.58,40.22,37.31,39.13,775,2013-08-11
39.13,40.31,38.76,38.76,1516,2013-08-12
38.76,39.49,37.67,37.67,3564,2013-08-13
37.67,38.22,38.22,38.22,67,2013-08-14
38.22,42.04,38.31,42.04,13187,2013-08-15
42.04,44.95,42.4,42.77,7814,2013-08-18
42.77,44.04,40.76,41.49,1046,2013-08-19
41.49,43.49,42.31,42.49,2934,2013-08-20
42.49,43.22,42.31,42.77,563,2013-08-25
42.77,44.13,42.77,43.68,2301,2013-08-26
43.68,45.22,43.95,45.22,1020,2013-08-27
45.22,44.4,44.4,44.4,190,2013-08-29
44.4,44.4,42.77,42.77,5900,2013-09-01
42.77,42.77,41.95,41.95,1524,2013-09-02
41.95,43.58,42.22,42.58,3921,2013-09-03
42.58,41.86,41.04,41.04,290,2013-09-04
41.04,41.4,41.13,41.4,320,2013-09-05
41.4,45.5,42.22,45.5,1737,2013-09-09
45.5,44.59,43.68,43.68,2767,2013-09-10
43.68,45.31,44.4,45.31,1090,2013-09-11
45.31,45.13,44.22,44.22,1556,2013-09-12
44.22,44.68,43.95,44.68,555,2013-09-15
44.68,43.86,43.22,43.86,2316,2013-09-16
43.86,44.13,43.68,44.13,236,2013-09-17
44.13,43.31,43.31,43.31,200,2013-09-19
43.31,43.31,41.76,42.31,1045,2013-09-22
42.31,42.31,41.49,42.31,3596,2013-09-23
42.31,43.13,41.86,42.77,1656,2013-09-25
42.77,43.58,43.22,43.22,423,2013-09-26
43.22,43.58,43.58,43.58,80,2013-09-29
