open,high,low,close,volume,date
1026.65,1026.65,942.83,942.83,1339.0,2022-05-12 05:45:00
924.44,924.44,848.55,848.55,1298.0,2022-05-17 20:45:00
831.62,831.62,763.74,763.74,1371.0,2022-05-18 20:45:00
749.01,751.3,705.69,724.61,16061.0,2022-05-19 20:45:00
732.23,751.3,709.35,709.35,4580.0,2022-05-20 20:45:00
695.16,695.16,675.03,682.65,3626.0,2022-05-23 20:45:00
696.0,697.91,641.54,653.67,10440.0,2022-05-24 20:45:00
666.72,678.07,642.84,669.69,6856.0,2022-05-25 20:45:00
669.69,674.95,655.96,663.58,3286.0,2022-05-26 20:45:00
670.45,670.45,648.41,662.06,3085.0,2022-05-27 20:45:00
662.06,662.06,633.08,636.89,5166.0,2022-05-30 20:45:00
636.89,636.89,613.24,617.06,3811.0,2022-05-31 20:45:00
617.06,641.85,605.61,605.61,6105.0,2022-06-01 20:45:00
605.61,617.06,598.75,598.83,5935.0,2022-06-02 20:45:00
591.12,597.99,575.87,577.4,10284.0,2022-06-03 20:45:00
588.91,588.91,572.82,578.16,4105.0,2022-06-06 20:45:00
586.47,586.55,566.72,575.11,4257.0,2022-06-07 20:45:00
581.97,610.95,572.05,602.57,4832.0,2022-06-08 20:45:00
614.62,625.45,579.68,593.41,3424.0,2022-06-09 20:45:00
583.5,597.99,575.87,587.32,879.0,2022-06-10 20:45:00
587.32,587.32,572.05,572.05,1772.0,2022-06-13 20:45:00
575.87,575.87,550.7,550.7,3264.0,2022-06-14 20:45:00
550.7,572.05,541.55,556.8,2240.0,2022-06-15 20:45:00
549.25,575.87,549.25,563.59,1819.0,2022-06-16 20:45:00
563.59,572.05,563.59,570.07,565.0,2022-06-17 20:45:00
569.01,569.01,543.84,545.44,3746.0,2022-06-19 20:45:00
535.44,535.44,514.85,517.14,5036.0,2022-06-20 20:45:00
527.43,542.31,523.32,533.92,3718.0,2022-06-21 20:45:00
527.82,537.73,526.29,534.69,2221.0,2022-06-22 20:45:00
526.29,533.16,507.99,532.4,3285.0,2022-06-23 20:45:00
521.79,540.63,512.03,540.02,1356.0,2022-06-24 20:45:00
541.55,575.11,540.78,572.05,3242.0,2022-06-26 20:45:00
583.5,583.5,547.96,559.85,4031.0,2022-06-27 20:45:00
548.72,561.69,542.31,546.12,1939.0,2022-06-28 20:45:00
553.75,589.6,543.84,571.22,8927.0,2022-06-29 20:45:00
575.87,628.27,572.82,628.27,15537.0,2022-06-30 20:45:00
640.7,641.46,617.82,633.08,4590.0,2022-07-01 20:45:00
633.08,646.66,620.88,644.51,5632.0,2022-07-03 20:45:00
634.22,663.58,619.35,619.35,17988.0,2022-07-04 20:45:00
607.9,633.84,599.52,610.19,6610.0,2022-07-05 20:45:00
599.52,614.01,594.94,607.9,4085.0,2022-07-06 20:45:00
620.03,621.64,593.41,593.41,3003.0,2022-07-07 20:45:00
593.41,593.41,573.58,591.12,3732.0,2022-07-08 20:45:00
591.12,591.12,553.75,559.85,5163.0,2022-07-11 20:45:00
