open,high,low,close,volume,date
255.0,280.5,255.0,280.5,3951.0,2023-08-13 20:45:00
286.1,308.5,286.1,308.5,8672.0,2023-08-14 20:45:00
314.6,339.3,277.7,287.1,56896.0,2023-08-15 20:45:00
281.4,303.0,264.9,294.0,16159.0,2023-08-16 20:45:00
288.2,291.3,271.5,287.0,10938.0,2023-08-17 20:45:00
282.0,285.9,267.1,272.6,11601.0,2023-08-20 20:45:00
269.0,272.0,261.0,261.0,6816.0,2023-08-21 20:45:00
260.0,264.9,253.0,257.0,5900.0,2023-08-22 20:45:00
257.0,269.2,253.0,266.0,14937.0,2023-08-23 20:45:00
261.0,263.0,254.3,257.0,6972.0,2023-08-24 20:45:00
251.9,253.0,245.1,245.4,6167.0,2023-08-27 20:44:00
243.0,256.0,240.0,241.0,4331.0,2023-08-28 20:45:00
240.0,255.0,230.6,237.0,8770.0,2023-08-29 20:45:00
232.3,235.7,227.7,231.0,10631.0,2023-08-30 20:45:00
231.1,254.1,231.1,254.1,17722.0,2023-09-03 20:45:00
250.0,279.5,245.0,279.5,25428.0,2023-09-04 20:45:00
274.0,307.4,274.0,295.0,30903.0,2023-09-05 20:45:00
289.1,317.0,284.0,317.0,26341.0,2023-09-07 20:45:00
310.7,343.7,294.0,343.7,32028.0,2023-09-10 20:45:00
336.9,378.0,310.9,378.0,36763.0,2023-09-11 20:44:00
370.5,370.5,340.2,340.2,13382.0,2023-09-12 20:45:00
333.4,333.4,308.0,313.0,31300.0,2023-09-13 20:45:00
307.0,344.3,307.0,337.7,60120.0,2023-09-17 20:45:00
331.0,371.4,331.0,371.4,31462.0,2023-09-18 20:45:00
364.0,408.5,364.0,408.5,30301.0,2023-09-19 20:45:00
400.4,449.3,395.0,449.3,63479.0,2023-09-21 20:45:00
440.4,493.0,404.4,493.0,67281.0,2023-09-24 20:45:00
483.2,483.2,443.7,443.7,16499.0,2023-09-25 20:45:00
434.9,434.9,399.4,419.0,43195.0,2023-09-26 20:45:00
410.7,414.2,395.0,402.1,23671.0,2023-09-27 20:45:00
394.1,399.0,367.6,370.0,23847.0,2023-10-01 20:45:00
362.7,399.0,350.0,394.9,17718.0,2023-10-02 20:45:00
387.1,402.0,381.0,395.0,11415.0,2023-10-03 20:45:00
398.0,410.0,372.0,388.1,13416.0,2023-10-04 20:45:00
395.0,395.0,377.1,380.0,4117.0,2023-10-05 20:45:00
380.0,387.0,357.0,359.0,14992.0,2023-10-08 20:45:00
352.0,392.6,352.0,375.0,13904.0,2023-10-09 20:45:00
368.1,377.4,357.0,358.0,8607.0,2023-10-10 20:45:00
351.0,372.0,351.0,354.3,6217.0,2023-10-11 20:45:00
352.0,366.0,341.0,350.0,7649.0,2023-10-12 20:45:00
343.0,349.0,330.0,342.7,9757.0,2023-10-16 20:45:00
