open,high,low,close,volume,date
98.65,98.65,98.65,98.65,34.0,2011-07-28 05:45:00
98.23,98.23,98.23,98.23,12.0,2011-09-12 05:45:00
97.81,97.81,97.81,97.81,1680.0,2011-10-20 05:45:00
97.38,97.38,96.96,96.96,790.0,2012-03-18 05:45:00
96.54,96.54,96.54,96.54,34.0,2012-07-16 05:45:00
96.11,96.11,96.11,96.11,101.0,2012-11-04 05:45:00
95.69,95.69,94.08,94.08,50.0,2013-07-30 05:45:00
93.74,93.74,92.05,92.05,80.0,2013-07-31 05:45:00
91.71,91.71,91.03,91.03,30.0,2013-08-01 05:45:00
90.69,90.69,90.69,90.69,50.0,2013-08-08 05:45:00
90.35,90.35,90.35,90.35,10.0,2013-08-11 05:45:00
90.1,90.1,89.59,89.59,30.0,2013-08-12 05:45:00
89.34,89.34,88.83,88.83,30.0,2013-08-14 05:45:00
88.58,88.58,88.07,88.07,150.0,2013-08-15 05:45:00
88.32,88.32,87.14,87.14,838.0,2013-08-18 05:45:00
86.88,88.07,85.87,88.07,3482.0,2013-08-19 05:45:00
88.07,88.75,87.65,88.07,7395.0,2013-08-20 05:45:00
88.07,89.51,88.07,89.51,11610.0,2013-08-25 05:45:00
89.76,91.03,89.76,91.03,6344.0,2013-08-26 05:45:00
91.37,92.73,90.69,90.69,10745.0,2013-08-27 05:45:00
90.35,90.44,89.34,89.34,2720.0,2013-08-29 05:45:00
89.17,89.17,87.81,88.07,7793.0,2013-09-01 05:45:00
88.32,88.58,88.32,88.32,350.0,2013-09-02 05:45:00
88.58,88.58,87.81,88.07,1883.0,2013-09-03 05:45:00
88.07,88.32,87.81,88.32,1434.0,2013-09-04 05:45:00
88.58,88.58,88.07,88.07,2136.0,2013-09-05 05:45:00
87.81,87.81,87.81,87.81,364.0,2013-09-08 05:45:00
87.56,87.56,87.56,87.56,34.0,2013-09-09 05:45:00
87.39,87.56,87.31,87.56,1500.0,2013-09-10 05:45:00
87.39,87.48,87.31,87.48,908.0,2013-09-11 05:45:00
87.22,87.22,87.22,87.22,824.0,2013-09-12 05:45:00
87.22,87.22,87.22,87.22,940.0,2013-09-15 05:45:00
87.22,87.39,87.22,87.39,650.0,2013-09-16 05:45:00
87.39,87.39,87.22,87.22,845.0,2013-09-17 05:45:00
87.48,88.24,87.48,88.24,796.0,2013-09-19 05:45:00
87.98,87.98,87.31,87.31,1269.0,2013-09-22 05:45:00
87.05,87.22,87.05,87.22,1460.0,2013-09-23 05:45:00
86.97,86.97,85.87,85.87,1108.0,2013-09-25 05:45:00
85.7,85.7,85.7,85.7,20.0,2013-09-26 05:45:00
85.53,85.53,85.1,85.1,622.0,2013-09-29 05:45:00
84.94,84.94,84.94,84.94,500.0,2013-09-30 05:45:00
84.77,85.1,84.77,85.1,968.0,2013-10-01 05:45:00
85.19,85.19,85.19,85.19,100.0,2013-11-11 05:45:00
85.36,85.53,85.36,85.53,1500.0,2013-11-13 05:45:00
85.53,85.7,85.53,85.7,2537.0,2013-11-14 05:45:00
85.87,86.04,85.87,86.04,78.0,2013-11-24 05:45:00
86.21,86.21,86.21,86.21,20.0,2013-11-26 05:45:00
86.8,87.39,86.8,87.39,190.0,2013-11-27 05:45:00
87.65,88.75,87.65,88.75,1040.0,2013-11-28 05:45:00
89.0,90.19,89.0,90.19,2152.0,2013-12-01 05:45:00
