open,high,low,close,volume,date
150.0,150.0,150.0,150.0,50.0,2019-06-12 05:45:00
143.0,143.0,143.0,143.0,50.0,2019-06-17 05:45:00
136.0,136.0,136.0,136.0,40.0,2019-06-18 05:45:00
130.0,130.0,128.0,128.0,100.0,2019-07-02 20:45:00
122.0,122.0,122.0,122.0,50.0,2019-07-03 20:45:00
116.0,116.0,114.0,114.0,150.0,2019-07-04 20:45:00
109.0,109.0,103.0,103.0,130.0,2019-07-21 20:45:00
101.0,101.0,99.0,99.0,20.0,2019-07-23 20:45:00
95.0,95.0,94.0,94.0,100.0,2019-07-24 20:45:00
90.0,90.0,85.0,85.0,3500.0,2019-07-25 20:45:00
84.0,84.0,77.0,78.0,821.0,2019-07-28 20:45:00
77.0,78.0,72.0,78.0,1900.0,2019-07-29 20:45:00
77.0,77.0,73.0,73.0,3410.0,2019-07-30 20:45:00
72.0,72.0,68.0,70.0,3041.0,2019-07-31 20:45:00
70.0,72.0,70.0,72.0,600.0,2019-08-01 20:45:00
73.0,73.0,71.0,71.0,1120.0,2019-08-04 20:45:00
71.0,71.0,68.0,68.0,350.0,2019-08-05 20:45:00
68.0,69.0,68.0,68.0,520.0,2019-08-06 20:45:00
68.0,69.0,68.0,68.0,200.0,2019-08-07 20:45:00
68.0,68.0,68.0,68.0,600.0,2019-08-08 20:45:00
67.0,68.0,65.0,67.0,590.0,2019-08-11 20:45:00
66.0,66.0,65.0,65.0,860.0,2019-08-12 20:45:00
65.0,69.0,65.0,67.0,750.0,2019-08-13 20:45:00
67.0,68.0,66.0,66.0,610.0,2019-08-14 20:45:00
67.0,67.0,66.0,66.0,570.0,2019-08-15 20:45:00
66.0,65.0,64.0,65.0,450.0,2019-08-18 20:45:00
66.0,66.0,65.0,65.0,250.0,2019-08-19 20:45:00
65.0,65.0,64.0,64.0,500.0,2019-08-20 20:45:00
63.0,63.0,62.0,62.0,200.0,2019-08-21 20:45:00
61.0,62.0,61.0,62.0,550.0,2019-08-22 20:45:00
63.0,63.0,62.0,62.0,150.0,2019-08-25 20:45:00
61.0,61.0,58.0,60.0,490.0,2019-08-26 20:45:00
61.0,61.0,58.0,58.0,760.0,2019-08-27 20:45:00
59.0,59.0,59.0,59.0,300.0,2019-08-28 20:45:00
