open,high,low,close,volume,date
253.6,278.9,253.6,278.9,4197.0,2023-08-13 20:45:00
284.4,306.7,284.4,306.7,4320.0,2023-08-14 20:45:00
312.8,337.3,288.1,312.0,60856.0,2023-08-15 20:45:00
315.0,318.0,288.0,308.0,21018.0,2023-08-16 20:45:00
302.0,331.0,298.2,327.0,11300.0,2023-08-17 20:45:00
325.0,330.0,297.5,297.5,11545.0,2023-08-20 20:45:00
291.6,300.5,291.5,295.0,5930.0,2023-08-21 20:45:00
290.0,311.9,290.0,306.0,5120.0,2023-08-22 20:45:00
312.1,312.1,301.2,307.5,6450.0,2023-08-23 20:45:00
301.5,309.0,293.5,299.0,7345.0,2023-08-24 20:45:00
293.1,293.1,281.1,281.7,3920.0,2023-08-27 20:44:00
280.0,285.2,269.1,276.5,5020.0,2023-08-28 20:45:00
277.0,287.0,271.0,273.0,3630.0,2023-08-29 20:45:00
268.0,281.0,268.0,277.1,2490.0,2023-08-30 20:45:00
272.6,277.4,262.1,269.0,4350.0,2023-09-03 20:45:00
264.1,295.0,264.0,294.0,8672.0,2023-09-04 20:45:00
290.0,294.0,281.5,292.3,4994.0,2023-09-05 20:45:00
286.5,313.0,275.6,297.0,4230.0,2023-09-07 20:45:00
291.1,306.9,285.4,289.0,3660.0,2023-09-10 20:45:00
283.3,306.5,283.3,296.0,6670.0,2023-09-11 20:44:00
290.1,316.0,287.4,316.0,7254.0,2023-09-12 20:45:00
316.0,321.9,302.0,316.2,4555.0,2023-09-13 20:45:00
309.9,320.0,292.4,314.0,7578.0,2023-09-17 20:45:00
307.8,315.0,298.0,314.0,4883.0,2023-09-18 20:45:00
307.8,345.4,304.6,330.0,9589.0,2023-09-19 20:45:00
335.1,348.0,330.0,334.0,9341.0,2023-09-21 20:45:00
327.7,349.8,322.1,349.8,9301.0,2023-09-24 20:45:00
348.0,374.3,342.0,367.0,6800.0,2023-09-25 20:45:00
374.0,375.3,354.9,373.0,13860.0,2023-09-26 20:45:00
365.6,365.6,346.2,353.9,10380.0,2023-09-27 20:45:00
346.9,346.9,321.5,329.0,13660.0,2023-10-01 20:45:00
323.4,344.7,314.3,344.7,10815.0,2023-10-02 20:45:00
337.9,358.0,331.3,353.0,10872.0,2023-10-03 20:45:00
348.0,362.0,340.0,350.0,16381.0,2023-10-04 20:45:00
350.0,362.0,348.0,357.0,8255.0,2023-10-05 20:45:00
349.9,350.0,333.3,347.3,7860.0,2023-10-08 20:45:00
340.7,361.2,335.0,340.0,8770.0,2023-10-09 20:45:00
346.8,346.8,333.2,340.0,3170.0,2023-10-10 20:45:00
335.0,346.0,323.2,346.0,3755.0,2023-10-11 20:45:00
339.1,339.1,322.0,322.1,10955.0,2023-10-12 20:45:00
316.0,322.0,305.1,313.0,2872.0,2023-10-16 20:45:00
313.0,344.0,310.0,318.0,3751.0,2023-10-17 20:45:00
324.3,326.1,313.0,326.1,5881.0,2023-10-18 20:45:00
319.6,325.9,308.0,325.3,840.0,2023-10-19 20:45:00
319.0,319.0,303.3,313.0,1610.0,2023-10-29 20:45:00
306.8,312.6,304.1,312.6,1870.0,2023-10-30 20:45:00
308.0,315.2,308.0,314.0,1980.0,2023-10-31 20:45:00
307.8,315.0,294.0,312.9,12083.0,2023-11-01 20:45:00
306.7,309.8,297.8,303.0,4353.0,2023-11-02 20:45:00
297.0,308.9,285.6,305.0,1000.0,2023-11-05 20:45:00
298.9,309.9,298.9,309.9,2795.0,2023-11-06 20:45:00
304.0,312.0,298.2,309.9,1350.0,2023-11-07 20:45:00
