open,high,low,close,volume,date
112.71,112.71,112.71,112.71,10.0,2015-11-09 05:45:00
114.88,123.91,114.88,123.91,168.0,2015-11-10 05:45:00
126.08,135.83,126.08,135.83,50.0,2015-11-29 05:45:00
138.36,138.36,138.36,138.36,10.0,2015-11-30 05:45:00
140.88,145.94,140.88,145.94,30.0,2015-12-01 05:45:00
148.83,151.72,148.83,151.72,20.0,2015-12-02 05:45:00
154.62,157.51,154.62,157.51,28.0,2015-12-03 05:45:00
160.39,173.03,160.39,173.03,76.0,2015-12-07 05:45:00
181.34,190.02,181.34,190.02,319.0,2015-12-08 05:45:00
193.63,208.8,193.63,208.8,130.0,2015-12-09 05:45:00
212.78,229.38,212.78,229.38,92.0,2015-12-10 05:45:00
233.73,252.14,233.73,252.14,50.0,2015-12-13 05:45:00
256.84,277.07,256.84,277.07,85.0,2015-12-14 05:45:00
282.49,304.53,282.49,304.53,648.0,2015-12-15 05:45:00
310.31,334.88,310.31,334.88,4082.0,2015-12-16 05:45:00
341.38,368.1,341.38,368.1,11089.0,2015-12-17 05:45:00
375.33,377.14,349.32,354.02,16297.0,2015-12-20 05:45:00
350.41,355.82,325.12,343.54,7937.0,2015-12-21 05:45:00
344.27,368.47,344.27,368.47,6941.0,2015-12-22 05:45:00
361.24,388.33,361.24,379.31,9042.0,2015-12-23 05:45:00
377.5,417.23,371.72,417.23,7798.0,2015-12-24 05:45:00
415.43,425.54,400.98,419.4,8188.0,2015-12-27 05:45:00
420.85,424.47,412.18,416.51,7129.0,2015-12-28 05:45:00
408.2,422.65,400.25,422.65,7982.0,2015-12-29 05:45:00
415.43,434.58,391.59,433.49,5459.0,2015-12-31 05:45:00
433.13,442.52,426.26,442.52,6898.0,2016-01-03 05:45:00
433.85,446.14,423.38,431.68,3188.0,2016-01-04 05:45:00
433.49,433.49,422.65,427.71,4100.0,2016-01-05 05:45:00
429.88,429.88,399.18,410.37,3875.0,2016-01-06 05:45:00
404.59,417.23,404.59,410.37,1902.0,2016-01-07 05:45:00
408.2,424.47,408.2,424.47,6088.0,2016-01-10 05:45:00
416.15,424.47,408.2,419.4,5645.0,2016-01-11 05:45:00
411.82,436.38,397.37,433.85,7670.0,2016-01-12 05:45:00
435.29,451.55,431.68,443.61,10301.0,2016-01-13 05:45:00
438.9,460.58,433.49,451.19,7928.0,2016-01-14 05:45:00
459.87,495.98,459.87,495.98,100.0,2016-01-31 05:45:00
505.74,543.67,505.74,542.95,1240.0,2016-02-01 05:45:00
541.87,541.87,532.83,532.83,753.0,2016-02-02 05:45:00
523.8,534.27,523.8,531.03,332.0,2016-02-03 05:45:00
520.91,520.91,511.15,520.19,810.0,2016-02-04 05:45:00
529.23,530.31,510.08,510.08,550.0,2016-02-07 05:45:00
519.83,519.83,519.83,519.83,400.0,2016-02-14 05:45:00
509.72,509.72,480.46,494.9,2349.0,2016-02-15 05:45:00
491.29,498.52,491.29,491.29,745.0,2016-02-16 05:45:00
501.04,501.04,501.04,501.04,10.0,2016-02-18 05:45:00
491.29,491.29,481.54,482.26,48.0,2016-02-21 05:45:00
475.03,480.46,475.03,480.46,350.0,2016-02-22 05:45:00
471.43,471.43,462.03,462.03,103.0,2016-02-23 05:45:00
453.36,453.36,444.33,453.0,386.0,2016-02-24 05:45:00
447.93,447.93,440.72,447.93,112.0,2016-02-25 05:45:00
447.93,455.18,444.33,451.55,90.0,2016-02-28 05:45:00
460.58,496.71,460.58,482.26,3061.0,2016-02-29 05:45:00
491.65,495.27,484.07,484.07,952.0,2016-03-01 05:45:00
484.07,503.21,476.84,503.21,1604.0,2016-03-02 05:45:00
