Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024/10/02,978.30,-1.88,"1,017.00",978.10,996.00,"21,692","21,604,426.00"
2024/10/01,997.00,2.91,"1,000.00",969.50,978.90,"20,524","20,367,142.60"
2024/09/30,968.80,1.56,969.00,938.10,954.00,"10,273","9,866,145.40"
2024/09/29,953.90,2.57,"1,007.90",912.00,930.00,"12,759","12,036,232.90"
2024/09/26,930.00,-2.52,960.00,925.50,943.40,"12,810","12,071,311.60"
2024/09/25,954.00,1.38,958.00,922.30,958.00,"10,956","10,252,583.00"
2024/09/24,941.00,-1.98,960.00,941.00,960.00,"10,888","10,311,921.50"
2024/09/23,960.00,-2.54,985.20,955.00,985.20,"14,531","14,088,124.20"
2024/09/22,985.00,1.65,988.00,972.20,987.90,"23,361","22,817,595.80"
2024/09/18,969.00,1.47,986.00,940.00,953.00,"32,817","32,070,887.30"
2024/09/16,955.00,-1.95,980.00,955.00,962.00,"20,334","19,512,531.20"
2024/09/15,974.00,-2.89,"1,023.00",970.00,"1,023.00","22,480","22,371,992.10"
2024/09/12,"1,003.00",2.45,"1,005.00",978.00,985.00,"16,532","16,360,938.20"
2024/09/11,979.00,-0.21,990.00,972.10,981.00,"11,881","11,645,523.50"
2024/09/10,981.10,-1.41,"1,015.00",981.10,"1,015.00","16,138","16,037,083.60"
2024/09/09,995.10,-1.84,"1,013.80",993.60,"1,013.80","28,172","28,138,414.40"
2024/09/08,"1,013.80",0.28,"1,026.00","1,002.00","1,005.00","34,394","34,960,230.60"
2024/09/05,"1,011.00",-1.17,"1,085.00","1,002.60","1,002.60","25,664","26,035,174.30"
2024/09/04,"1,023.00",-4.49,"1,113.00","1,009.40","1,090.00","46,518","48,806,271.30"
2024/09/03,"1,071.10",6.15,"1,101.00","1,010.00","1,010.00","112,272","118,625,146.60"
2024/09/02,"1,009.00",5.1,"1,045.00",951.10,964.00,"26,106","25,853,209.50"
2024/09/01,960.00,-1.54,985.00,960.00,985.00,"21,552","20,855,593.90"
2024/08/29,975.00,-1.42,990.00,960.10,985.00,"31,395","30,490,122.00"
2024/08/28,989.00,0.1,"1,003.00",975.00,"1,000.00","15,858","15,735,148.50"
2024/08/27,988.00,-3.61,"1,030.00",986.00,"1,027.00","42,187","42,501,450.90"
2024/08/25,"1,025.00",-0.39,"1,048.00","1,008.00","1,030.10","34,757","35,357,878.60"
2024/08/22,"1,029.00",-0.19,"1,049.00","1,028.50","1,040.00","33,307","34,710,833.40"
2024/08/21,"1,031.00",0.21,"1,048.10","1,030.00","1,036.00","37,845","39,211,233.20"
2024/08/18,"1,028.80",-3.58,"1,088.30","1,014.00","1,088.30","76,342","80,747,185.60"
2024/08/15,"1,067.00",0.95,"1,099.00","1,039.00","1,070.00","57,112","60,955,010.80"
2024/08/14,"1,057.00",1.34,"1,103.00","1,041.10","1,063.00","55,133","58,268,546.20"
2024/08/13,"1,043.00",-1.88,"1,075.00","1,031.00","1,070.00","69,812","73,455,954.80"
2024/08/12,"1,063.00",2.03,"1,070.00","1,035.00","1,060.00","69,796","73,462,717.80"
2024/08/11,"1,041.90",2.27,"1,041.90","1,018.30","1,019.00","77,045","79,559,285.00"
2024/08/08,"1,018.80",0.08,"1,040.00",990.00,999.10,"64,646","65,264,852.60"
2024/08/07,"1,018.00",6.04,"1,018.00",950.10,978.00,"57,155","56,616,186.40"
2024/08/06,960.00,-5.88,"1,034.90",956.00,"1,034.90","85,280","83,977,126.40"
2024/08/05,"1,020.00",0.99,"1,030.00",989.80,"1,029.00","72,211","72,871,769.70"
2024/08/01,"1,010.00",4.66,"1,020.00",956.00,970.00,"143,170","142,117,313.20"
2024/07/31,965.00,6.75,965.00,910.00,910.00,"125,146","118,143,789.90"
2024/07/30,904.00,0.44,912.00,869.00,900.00,"39,759","35,376,206.60"
2024/07/29,900.00,-3.12,933.00,897.00,915.50,"34,686","31,510,728.70"
2024/07/28,929.00,0.98,950.00,903.00,938.40,"45,673","41,993,428.70"
2024/07/25,920.00,2.56,925.00,881.00,890.00,"75,020","68,112,267.90"
2024/07/24,897.00,-1.21,920.90,880.00,900.10,"33,724","30,247,683.40"
2024/07/23,908.00,3.42,910.00,878.20,889.90,"65,746","59,036,895.70"
2024/07/22,878.00,-1.35,898.50,866.00,887.20,"38,925","34,199,173.10"
2024/07/21,890.00,0.69,897.40,863.00,888.00,"33,757","29,902,212.90"
2024/07/18,883.90,1.25,895.00,865.20,879.00,"45,333","40,134,908.70"
2024/07/17,873.00,2.72,875.00,850.00,865.00,"49,851","43,018,761.00"
2024/07/16,849.90,2.89,851.00,809.50,809.50,"16,652","13,990,807.90"
2024/07/15,826.00,-1.04,849.90,822.00,849.90,"48,417","40,104,206.60"
2024/07/14,834.70,0.92,843.60,830.00,843.60,"37,702","31,486,265.00"
2024/07/11,827.10,0.38,839.00,826.20,830.00,"32,871","27,384,555.80"
2024/07/10,824.00,0.15,838.00,820.00,830.00,"26,518","21,997,811.80"
2024/07/09,822.80,-0.07,822.80,809.00,820.00,"11,961","9,752,155.70"
2024/07/08,823.40,-0.56,844.50,806.80,844.50,"15,047","12,290,342.10"
2024/07/07,828.00,1.6,837.00,818.00,827.00,"43,385","35,860,221.90"
2024/07/04,815.00,2.13,821.00,794.00,810.00,"28,322","22,812,751.30"
2024/07/03,798.00,-0.87,810.00,786.00,805.00,"23,843","18,965,751.20"
2024/07/02,805.00,5.23,805.00,779.00,780.30,"68,002","53,680,745.30"
2024/07/01,765.00,0.01,769.50,757.00,757.00,"6,319","4,812,518.70"
2024/06/30,764.90,0.12,774.00,756.00,763.00,"4,519","3,438,538.10"
2024/06/27,764.00,-0.78,776.00,761.00,762.10,"2,413","1,850,773.00"
2024/06/26,770.00,0.21,783.00,765.00,783.00,"5,460","4,190,763.20"
2024/06/25,768.40,-0.71,786.00,764.10,773.90,"8,971","6,913,921.40"
2024/06/24,773.90,0.51,785.00,761.00,770.00,"6,471","4,979,504.50"
2024/06/23,770.00,0.13,780.00,766.00,766.00,"5,587","4,303,377.60"
2024/06/20,769.00,-0.77,779.00,768.00,770.00,"3,628","2,795,499.90"
2024/06/19,775.00,0.14,789.30,770.00,789.30,"3,885","3,001,816.20"
2024/06/18,773.90,0.27,783.00,773.00,783.00,"11,005","8,532,109.20"
2024/06/16,771.80,-1.44,794.00,770.00,781.10,"13,115","10,196,574.50"
2024/06/13,783.10,-1.88,803.00,783.10,786.90,"11,538","9,129,191.90"
2024/06/12,798.10,-0.24,817.00,798.10,801.00,"27,486","22,228,630.00"
2024/06/11,800.00,4.56,800.00,770.10,779.00,"30,511","24,054,789.40"
2024/06/10,765.10,0,774.50,765.00,769.00,"6,381","4,893,188.00"
2024/06/09,765.10,0.01,771.90,765.00,768.00,"9,601","7,355,884.00"
2024/06/06,765.00,-0.71,770.00,764.00,770.00,"6,085","4,663,626.20"
2024/06/05,770.50,-0.84,785.10,770.40,779.00,"4,177","3,222,882.50"
2024/06/04,777.00,0.61,784.00,770.20,772.00,"15,683","12,157,791.40"
2024/06/03,772.30,-1.35,784.00,772.30,774.10,"7,919","6,151,564.00"
2024/06/02,782.90,1.4,787.50,767.00,787.50,"5,930","4,590,189.20"
2024/05/30,772.10,-1.13,794.80,772.00,785.00,"7,386","5,725,588.80"
2024/05/29,780.90,0.76,795.00,780.00,790.00,"2,298","1,801,116.20"
2024/05/27,775.00,-1.34,804.60,775.00,780.00,"9,374","7,359,045.10"
2024/05/26,785.50,-1.19,810.00,784.00,810.00,"12,657","10,007,097.30"
2024/05/22,795.00,-0.5,807.00,793.10,799.10,"7,962","6,356,272.60"
2024/05/21,799.00,0.13,804.00,793.10,802.50,"6,392","5,109,475.10"
2024/05/20,798.00,-0.25,816.00,790.00,808.00,"15,856","12,784,317.60"
2024/05/19,800.00,4.28,820.00,782.50,782.50,"42,867","34,660,622.80"
2024/05/16,767.20,-2.27,789.00,767.20,788.90,"5,952","4,610,041.00"
2024/05/15,785.00,-0.76,805.00,777.30,805.00,"16,219","12,822,593.10"
2024/05/14,791.00,1.15,795.00,777.00,777.00,"8,168","6,446,704.70"
2024/05/13,782.00,-0.64,791.00,778.50,791.00,"5,185","4,047,393.50"
2024/05/12,787.00,1.52,812.00,782.10,783.00,"31,982","25,200,577.00"
2024/05/09,775.20,0.28,785.00,764.00,780.00,"7,595","5,885,405.00"
2024/05/08,773.00,-0.36,790.00,765.00,790.00,"7,003","5,399,854.00"
2024/05/07,775.80,1.66,790.00,770.00,778.00,"6,394","4,934,914.60"
2024/05/06,763.10,-2.79,783.00,761.00,772.00,"6,264","4,857,302.10"
2024/05/05,785.00,-0.63,807.50,780.20,805.00,"18,136","14,374,648.80"
2024/05/02,790.00,-0.59,812.00,790.00,810.50,"15,371","12,297,002.00"
2024/04/30,794.70,3.02,804.30,771.40,773.00,"31,621","25,010,664.00"
2024/04/29,771.40,-0.98,773.90,762.00,773.00,"3,101","2,387,460.00"
2024/04/28,779.00,1.7,779.00,758.10,758.10,"7,588","5,824,337.60"
2024/04/25,766.00,-0.51,798.00,755.30,785.00,"2,627","2,023,493.60"
2024/04/24,769.90,0.12,772.00,760.40,765.00,"4,380","3,354,446.00"
2024/04/22,769.00,-1.45,795.00,765.00,785.00,"6,195","4,783,187.90"
2024/04/21,780.30,5.81,780.30,740.00,740.00,"13,628","10,350,450.30"
2024/04/18,772.50,0.06,773.00,765.10,770.00,"9,263","7,116,918.20"
2024/04/16,772.00,0.1,775.00,761.10,762.00,"4,895","3,766,175.60"
2024/04/15,771.20,-0.87,779.80,771.20,777.00,"3,092","2,396,423.00"
2024/04/14,778.00,-2.14,800.00,777.00,780.00,"4,832","3,790,921.90"
2024/04/10,795.00,-1.13,805.00,780.00,790.00,"11,263","8,950,464.00"
2024/04/09,804.10,0.54,814.80,801.20,814.00,"32,981","26,723,386.70"
2024/04/07,799.80,2.29,800.00,772.30,775.10,"10,996","8,683,072.20"
2024/04/04,781.90,1.18,788.20,762.00,762.00,"12,913","10,075,517.60"
2024/04/03,772.80,0.1,772.90,757.00,757.00,"7,200","5,534,531.80"
2024/04/02,772.00,0.39,775.00,762.50,774.00,"8,072","6,236,025.40"
2024/04/01,769.00,-0.9,791.00,765.00,791.00,"4,168","3,212,324.50"
2024/03/31,776.00,1.44,784.80,750.00,750.00,"12,410","9,636,602.00"
2024/03/28,765.00,-0.65,775.00,755.00,755.00,"7,310","5,609,674.60"
2024/03/27,770.00,0,785.40,761.00,761.00,"2,304","1,770,641.80"
2024/03/26,770.00,0.92,770.00,759.20,770.00,"2,677","2,049,395.80"
2024/03/25,763.00,-0.91,766.00,760.00,765.00,"5,658","4,306,839.30"
2024/03/21,770.00,-1.41,785.00,770.00,785.00,"5,570","4,311,447.80"
2024/03/20,781.00,0.9,805.10,770.00,780.00,"5,445","4,263,649.50"
2024/03/19,774.00,-1.21,789.50,774.00,787.00,"8,291","6,433,353.80"
2024/03/18,783.50,1.36,784.00,773.10,784.00,"3,922","3,048,792.90"
2024/03/17,773.00,-0.92,787.00,770.00,771.10,"13,666","10,542,337.40"
2024/03/14,780.20,-1.74,797.00,780.20,782.50,"12,273","9,635,607.60"
2024/03/13,794.00,-1.73,811.90,787.00,798.00,"19,831","15,795,862.20"
2024/03/12,808.00,4.8,823.00,770.10,775.00,"36,227","28,603,819.90"
2024/03/10,771.00,0.94,784.00,765.00,775.00,"10,594","8,203,843.60"
2024/03/07,763.80,3.92,764.80,729.60,744.40,"10,489","7,861,191.40"
2024/03/06,735.00,0.68,741.00,705.00,728.00,"39,609","28,361,453.50"
2024/03/05,730.00,-8.64,814.90,728.00,814.90,"22,292","16,747,043.50"
2024/03/04,799.00,7.99,799.00,750.00,750.00,"2,170","1,658,100.00"
2024/03/03,739.90,-2.77,776.00,735.00,776.00,"14,260","10,550,134.70"
2024/02/29,761.00,-0.52,765.00,760.30,761.00,"4,821","3,673,804.50"
2024/02/28,765.00,-2.67,784.00,765.00,775.00,"3,085","2,387,720.00"
2024/02/27,786.00,2.09,807.00,760.10,777.00,"8,534","6,627,124.20"
2024/02/26,769.90,0.35,769.90,756.10,769.90,"4,610","3,500,250.10"
2024/02/25,767.20,-0.62,777.00,765.10,765.10,"7,666","5,885,713.80"
2024/02/22,772.00,-0.89,792.00,767.00,783.00,"8,321","6,407,853.00"
2024/02/21,778.90,0.5,785.00,772.00,785.00,"9,326","7,223,715.80"
2024/02/20,775.00,0.39,799.00,760.10,760.10,"19,061","14,891,085.00"
2024/02/18,772.00,-1.28,778.00,766.00,770.00,"15,169","11,687,883.90"
2024/02/15,782.00,-2.25,799.00,782.00,793.00,"22,503","17,705,324.80"
2024/02/14,800.00,-0.87,807.90,791.00,807.00,"12,739","10,159,103.70"
2024/02/13,807.00,-2.18,821.90,795.00,809.10,"23,574","18,898,715.40"
2024/02/12,825.00,1.69,829.00,814.00,827.00,"12,952","10,642,492.10"
2024/02/11,811.30,0.07,830.00,810.00,824.00,"21,173","17,340,100.50"
2024/02/08,810.70,-1.13,815.00,810.30,814.00,"11,764","9,560,389.70"
2024/02/07,820.00,1.11,825.00,806.10,825.00,"17,245","14,056,670.70"
2024/02/06,811.00,-0.37,824.00,800.10,800.10,"8,372","6,822,671.70"
2024/02/05,814.00,-1.33,830.00,806.00,830.00,"10,122","8,214,041.30"
2024/02/04,825.00,2.48,825.00,799.00,800.00,"7,897","6,380,629.00"
2024/02/01,805.00,-0.12,822.00,791.00,791.00,"20,257","16,216,637.20"
2024/01/31,806.00,-2.65,840.00,800.00,840.00,"20,332","16,403,610.30"
2024/01/30,827.90,-0.13,839.00,818.70,839.00,"9,270","7,624,411.10"
2024/01/29,829.00,-0.12,845.00,814.00,814.00,"9,382","7,766,243.30"
2024/01/28,830.00,0.36,839.00,814.00,814.00,"12,529","10,367,894.80"
2024/01/25,827.00,1.61,835.00,802.00,802.00,"15,650","12,756,726.50"
2024/01/24,813.90,-0.74,836.00,800.10,836.00,"13,180","10,679,027.50"
2024/01/23,826.00,-1.14,838.00,820.00,820.00,"25,378","21,427,213.60"
2024/01/22,835.50,-0.88,857.00,820.00,826.60,"16,573","13,741,672.40"
2024/01/21,842.90,-0.85,867.00,835.00,867.00,"27,715","23,503,992.30"
2024/01/18,850.10,-1.95,864.00,847.30,856.00,"27,530","23,578,508.00"
2024/01/17,867.00,-1.7,897.00,861.50,890.00,"47,671","42,014,264.70"
2024/01/16,882.00,1.98,886.30,860.00,880.00,"92,221","80,689,093.20"
2024/01/14,864.90,-0.13,879.90,851.20,879.90,"21,804","18,818,245.50"
2024/01/11,866.00,-0.92,885.00,865.00,880.00,"31,202","27,328,408.40"
2024/01/10,874.00,0.58,886.30,865.00,885.00,"44,237","38,528,156.70"
2024/01/09,869.00,1.29,897.00,861.00,861.00,"70,720","62,147,333.00"
2024/01/08,857.90,0.7,868.00,842.80,868.00,"27,237","23,247,529.00"
2024/01/07,851.90,-2.64,874.00,850.10,874.00,"31,195","26,761,991.30"
2024/01/04,875.00,0.34,889.00,860.00,888.00,"85,826","74,794,518.00"
2024/01/03,872.00,5.44,880.00,830.00,837.00,"67,971","58,507,322.20"
2024/01/02,827.00,-2.82,852.00,820.00,852.00,"55,818","46,571,192.70"
2024/01/01,851.00,-3.3,896.90,851.00,885.00,"57,397","50,006,832.60"
2023/12/28,880.00,2.34,892.00,860.00,860.00,"87,508","77,240,125.70"
2023/12/27,859.90,3.79,872.10,822.50,831.00,"105,627","90,266,906.40"
2023/12/24,828.50,1.16,854.00,803.10,803.10,"96,128","80,571,693.20"
2023/12/21,819.00,-0.27,836.00,801.00,836.00,"58,075","47,521,571.70"
2023/12/20,821.20,0.51,849.90,817.00,833.30,"87,790","73,245,235.10"
2023/12/19,817.00,2.11,820.00,796.00,816.00,"51,387","41,575,875.60"
2023/12/18,800.10,-2.03,830.90,800.00,830.90,"71,620","58,042,066.60"
2023/12/17,816.70,3.37,833.00,774.30,774.30,"91,039","73,286,225.60"
2023/12/14,790.10,4.33,797.90,745.00,746.10,"55,983","43,550,588.60"
2023/12/13,760.10,-1.92,790.00,753.00,775.00,"24,972","19,264,217.40"
2023/12/12,775.00,2.92,799.60,745.00,745.00,"58,024","45,267,719.00"
2023/12/11,753.00,2.73,755.00,708.00,739.00,"60,952","44,852,386.60"
2023/12/10,733.00,9.24,733.00,684.40,684.40,"2,492","1,800,861.10"
2023/12/07,671.00,3.07,691.00,645.00,660.00,"30,998","20,539,007.70"
2023/12/06,651.00,0.62,657.00,640.30,647.00,400,"257,675.20"
2023/12/05,647.00,-0.46,668.90,640.00,663.00,"3,326","2,142,929.60"
2023/12/04,650.00,-0.61,667.00,642.60,667.00,"7,610","5,032,019.40"
2023/12/03,654.00,0.31,654.00,640.20,652.00,"1,166","756,066.20"
2023/11/30,652.00,-0.02,678.00,640.00,665.00,"6,685","4,395,158.00"
2023/11/29,652.10,-1.85,664.10,652.00,664.10,"9,808","6,429,690.10"
2023/11/28,664.40,-0.54,675.10,655.30,675.00,"2,523","1,666,916.00"
2023/11/27,668.00,-1.62,681.00,658.50,681.00,"7,227","4,823,642.00"
2023/11/26,679.00,2.88,682.00,647.00,647.00,"7,601","5,139,226.50"
2023/11/23,660.00,2.71,674.00,640.00,642.60,"3,093","2,019,652.00"
2023/11/22,642.60,1.94,642.60,618.00,618.00,"2,888","1,821,478.00"
2023/11/21,630.40,-2.26,638.00,630.40,635.10,"1,276","808,478.20"
2023/11/20,645.00,-0.77,653.00,640.10,653.00,"1,732","1,121,210.00"
2023/11/09,650.00,-0.15,650.00,640.20,640.20,610,"391,972.00"
2023/11/08,651.00,-0.61,666.00,645.00,666.00,"1,104","716,836.00"
2023/11/07,655.00,2.02,656.00,641.00,645.00,"2,894","1,877,329.00"
2023/11/06,642.00,0.64,647.00,635.00,635.00,"2,993","1,918,924.80"
2023/11/05,637.90,-0.33,637.90,621.00,628.00,"1,426","897,512.10"
2023/11/02,640.00,-0.47,650.00,632.20,642.00,"3,869","2,470,153.50"
2023/11/01,643.00,-0.77,651.00,635.30,635.30,"3,608","2,323,145.70"
2023/10/31,648.00,-1.97,660.00,641.00,660.00,"3,923","2,544,878.70"
2023/10/30,661.00,2.4,679.90,646.00,648.00,"2,491","1,634,028.00"
2023/10/29,645.50,-1.6,656.00,645.50,646.50,"2,628","1,705,212.40"
2023/10/19,656.00,-2.38,668.60,655.20,660.00,"4,863","3,205,496.50"
2023/10/18,672.00,3.08,690.00,646.30,650.00,"3,779","2,556,244.00"
2023/10/17,651.90,1.07,657.00,648.50,656.00,"4,911","3,204,417.20"
2023/10/16,645.00,-0.8,675.00,635.20,641.00,"4,680","3,005,154.00"
2023/10/12,650.20,-2.23,667.00,650.20,663.90,"5,778","3,797,710.30"
2023/10/11,665.00,-0.51,681.70,656.00,681.70,"3,760","2,488,947.10"
2023/10/10,668.40,-0.4,669.00,657.70,660.00,"6,569","4,353,831.50"
2023/10/09,671.10,1.08,677.10,651.00,660.00,"5,220","3,448,510.00"
2023/10/08,663.90,-1.64,675.00,660.60,664.00,"12,375","8,204,727.90"
2023/10/05,675.00,-0.88,675.00,669.10,671.10,"3,362","2,256,189.00"
2023/10/04,681.00,0.89,684.00,675.00,675.00,"2,294","1,553,732.50"
2023/10/03,675.00,-0.3,689.00,667.00,689.00,"9,790","6,596,614.70"
