Date,LTP,Change,High,Low,Open,Quantity,Turnover
2024-04-29,408.50,5.01,415.00,382.20,396.00,"126,862","50,574,538.40"
2024-04-30,412.50,0.98,441.00,405.00,416.00,"205,312","87,049,349.40"
2024-05-02,399.00,-3.27,417.00,397.10,417.00,"84,771","34,375,190.50"
2024-05-05,386.00,-3.26,402.00,385.00,400.00,"58,143","22,841,315.80"
2024-05-06,389.00,0.78,393.00,376.00,381.00,"43,953","16,897,330.60"
2024-05-07,383.00,-1.54,395.00,378.00,390.00,"21,009","8,092,764.60"
2024-05-08,395.00,3.13,398.40,385.00,389.80,"26,616","10,404,221.50"
2024-05-09,401.00,1.52,410.00,395.00,399.90,"61,324","24,655,184.40"
2024-05-12,394.10,-1.72,405.90,392.00,400.00,"22,819","9,104,204.90"
2024-05-13,393.30,-0.2,398.00,390.60,390.60,"18,126","7,149,928.20"
2024-05-14,396.00,0.69,397.00,386.00,395.00,"32,692","12,874,465.60"
2024-05-15,394.00,-0.51,402.00,386.00,396.00,"39,425","15,437,335.00"
2024-05-16,387.00,-1.78,400.00,384.00,400.00,"40,779","15,812,319.10"
2024-05-19,388.00,0.26,394.70,377.30,394.70,"78,584","30,239,389.10"
2024-05-20,387.00,-0.26,392.70,382.60,388.00,"18,888","7,321,140.80"
2024-05-21,403.00,4.13,403.50,385.00,387.00,"66,294","26,351,610.50"
2024-05-22,395.90,-1.76,405.00,392.00,398.00,"41,846","16,741,728.70"
2024-05-26,386.60,-2.35,398.80,385.00,390.10,"20,038","7,778,471.90"
2024-05-27,387.00,0.1,394.30,383.40,394.30,"17,808","6,907,838.10"
2024-05-29,380.00,-1.81,400.00,380.00,394.70,"45,150","17,461,118.10"
2024-05-30,392.00,3.16,395.00,380.00,380.00,"26,068","10,112,676.50"
2024-06-02,410.00,4.59,414.80,391.00,395.00,"138,341","56,527,388.60"
2024-06-03,409.00,-0.24,425.00,405.00,418.00,"97,173","40,428,602.30"
2024-06-04,429.00,4.89,430.00,406.00,408.10,"84,514","35,423,262.10"
2024-06-05,425.50,-0.82,440.00,421.20,425.60,"70,640","30,327,070.70"
2024-06-06,411.80,-3.22,431.80,411.00,425.50,"35,949","14,982,598.50"
2024-06-09,412.10,0.07,420.00,410.50,412.10,"52,986","21,980,518.80"
2024-06-10,420.00,1.92,420.00,413.10,418.00,"34,196","14,270,672.70"
2024-06-11,426.00,1.43,432.00,415.00,427.90,"51,786","22,126,862.50"
2024-06-12,443.50,4.11,460.00,415.00,427.00,"87,922","37,878,900.60"
2024-06-13,445.00,0.34,474.00,442.00,442.00,"146,105","66,278,665.70"
2024-06-16,436.10,-2,453.00,436.00,453.00,"64,291","28,390,179.30"
2024-06-18,423.00,-3,437.00,423.00,430.20,"35,259","15,134,337.40"
2024-06-19,433.00,2.36,441.60,420.00,431.00,"32,999","14,241,193.20"
2024-06-20,438.00,1.15,455.00,434.00,439.90,"49,475","21,940,862.20"
2024-06-23,464.00,5.94,464.00,440.00,446.50,"104,469","47,424,822.80"
2024-06-24,476.00,2.59,480.00,451.00,473.00,"111,226","52,220,497.10"
2024-06-25,460.00,-3.36,488.00,458.00,476.00,"81,144","38,207,818.70"
2024-06-26,461.00,0.22,470.00,451.00,451.00,"57,217","26,453,895.50"
2024-06-27,455.20,-1.26,465.00,452.20,464.90,"45,627","20,871,167.40"
2024-06-30,452.00,-0.7,467.00,450.00,461.00,"41,886","19,168,375.70"
2024-07-01,459.00,1.55,464.00,449.00,454.80,"49,967","22,789,777.30"
2024-07-02,479.00,4.36,504.00,462.00,468.10,"108,394","51,151,362.50"
2024-07-03,526.90,10,526.90,474.00,488.50,"253,521","130,523,896.00"
2024-07-04,528.00,0.21,555.00,515.00,537.40,"154,024","81,925,413.70"
2024-07-07,510.00,-3.41,535.00,510.00,520.20,"130,082","67,850,393.40"
2024-07-08,516.00,1.18,527.50,510.50,520.20,"89,697","46,502,669.80"
2024-07-09,524.00,1.55,535.50,518.50,526.30,"97,167","51,318,703.60"
2024-07-10,527.00,0.57,533.90,522.00,525.00,"69,431","36,616,054.20"
2024-07-11,527.00,0,539.00,524.00,531.00,"68,354","36,208,172.10"
2024-07-14,533.00,1.14,558.00,526.00,537.50,"72,534","38,685,010.60"
2024-07-15,532.00,-0.19,543.60,530.00,543.00,"101,690","54,510,029.90"
2024-07-16,549.00,3.2,553.00,533.60,537.00,"88,263","48,129,926.00"
2024-07-17,603.90,10,603.90,557.00,559.00,"209,104","122,764,232.10"
2024-07-18,590.20,-2.27,615.90,590.00,615.00,"132,037","79,485,167.20"
2024-07-21,610.00,3.35,625.00,583.10,590.50,"215,409","132,312,312.30"
2024-07-22,603.00,-1.15,622.20,592.00,622.20,"105,886","64,265,625.40"
2024-07-23,608.00,0.83,616.00,602.00,607.90,"76,854","46,804,181.30"
2024-07-24,600.00,-1.32,623.00,598.00,610.00,"139,090","84,976,147.20"
2024-07-25,599.00,-0.17,611.90,588.00,588.00,"84,786","51,220,002.40"
2024-07-28,599.00,0,610.00,585.10,610.00,"102,388","60,848,187.20"
2024-07-29,620.00,3.51,632.00,590.00,608.70,"169,058","103,493,258.40"
2024-07-30,659.00,6.29,671.00,622.00,623.00,"151,494","98,151,256.10"
2024-07-31,699.00,6.07,710.00,658.00,660.00,"187,688","130,182,635.80"
2024-08-01,675.00,-3.43,712.90,675.00,712.90,"221,768","154,157,908.80"
2024-08-05,645.00,-4.44,684.00,636.50,675.00,"151,474","99,140,071.40"
2024-08-06,580.50,-10,642.00,580.50,632.10,"260,310","157,416,534.10"
2024-08-07,638.50,9.99,638.50,550.00,568.90,"177,810","110,073,433.20"
2024-08-08,626.00,-1.96,665.00,614.00,651.00,"95,117","60,286,920.10"
2024-08-11,635.00,1.44,650.00,620.20,638.00,"145,025","91,631,948.90"
2024-08-12,665.00,4.72,695.00,636.00,647.50,"136,968","90,941,158.60"
2024-08-13,676.00,1.65,700.00,654.70,678.30,"135,998","92,874,012.50"
2024-08-14,743.60,10,743.60,680.00,685.00,"299,734","218,327,458.10"
2024-08-15,763.00,2.61,803.00,731.00,758.40,"291,156","226,039,615.60"
2024-08-18,759.00,-0.52,800.00,732.90,747.80,"290,596","222,859,285.30"
2024-08-21,791.00,4.22,816.00,770.00,774.10,"169,209","132,945,246.20"
2024-08-22,800.00,1.14,820.00,790.00,805.90,"155,925","125,853,357.60"
2024-08-25,744.00,-7,815.00,744.00,800.00,"157,223","119,791,987.40"
2024-08-27,700.10,-5.9,765.00,700.00,740.00,"114,014","83,375,653.90"
2024-08-28,690.00,-1.44,734.90,679.00,714.00,"92,023","64,952,083.20"
2024-08-29,668.00,-3.19,717.80,665.00,703.80,"78,093","53,038,528.40"
2024-09-01,649.00,-2.84,689.00,647.00,681.00,"72,932","48,267,369.20"
2024-09-02,706.00,8.78,710.00,635.00,661.90,"91,013","62,469,440.30"
2024-09-03,700.50,-0.78,733.00,687.00,720.10,"94,825","67,018,045.20"
2024-09-04,655.00,-6.5,706.90,655.00,700.10,"67,234","45,474,027.90"
2024-09-05,650.00,-0.76,661.90,633.30,660.00,"82,736","53,419,984.30"
2024-09-08,632.00,-2.77,666.90,629.00,650.00,"48,048","31,228,954.30"
2024-09-09,613.00,-3.01,637.50,609.10,625.00,"94,289","58,212,763.40"
2024-09-10,618.00,0.82,635.10,610.00,625.00,"58,781","36,586,360.80"
2024-09-11,625.00,1.13,637.00,610.00,622.00,"66,148","41,480,662.40"
2024-09-12,644.00,3.04,650.00,625.00,632.00,"53,961","34,587,074.90"
2024-09-15,620.00,-3.73,661.00,616.50,655.00,"73,114","46,817,652.90"
2024-09-16,586.00,-5.48,620.00,583.60,620.00,"70,573","42,173,490.00"
2024-09-18,568.50,-2.99,592.00,564.00,592.00,"53,109","30,562,245.20"
2024-09-22,568.00,-0.09,596.00,562.00,579.80,"29,220","16,870,028.10"
2024-09-23,524.00,-7.75,571.20,511.20,560.09,"61,985","33,006,145.90"
2024-09-24,499.10,-4.75,539.00,498.00,521.00,"75,453","38,377,262.10"
2024-09-25,521.90,4.57,523.00,491.20,495.10,"46,802","24,012,266.50"
2024-09-26,506.20,-3.01,530.00,506.20,521.90,"35,627","18,524,901.30"
2024-09-29,503.00,-0.63,524.00,496.10,496.10,"35,680","17,937,649.60"
2023-11-26,325.00,1.5,328.00,315.50,324.00,"12,403","4,019,953.40"
2023-11-27,328.00,0.92,331.50,316.00,328.00,"15,153","4,899,542.20"
2023-11-28,325.00,-0.91,334.00,321.50,334.00,"5,354","1,753,947.30"
2023-11-29,319.00,-1.85,330.00,318.90,330.00,"2,374","765,768.50"
